Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,2019,,Amorotti Trebbiano D'Abruzzo,,,Amorotti,Abruzzo,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Cerasuolo D'Abruzzo,,,Amorotti,Abruzzo,,23,Trebbiano 90% – altre varietà 10%,Baccalà alla brace.,,,,nd,nd,,,,,"12,5%",5,Legno 12 mesi,,,,"Lucente livrea giallo paglierino. Intrigante esordio olfattivo, giocato sulla fusione tra la pietra focaia e le nuance di fiori bianchi, camomilla  e  cedro  candito.  Effluvi  di  mandorla  tostata  e  caramella d’orzo, fusi a tratti fumé, completano il quadro. Sorso godibile, pervaso da freschezza e sapidità.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Ausonia Trebbiano D'Abruzzo Apollo,,,Ausonia,Abruzzo,,23,Montepulciano 100%,,,,,nd,nd,,,,,14%,3,Legno 12 mesi,,,,abbinamento Primi piatti di pasta o pasta fresca ripiena ettari 13  bottiglie 35.000 produzione olearia Sì proprietà Simone Binelli conduzione enologica Simone Binelli conduzione agronomica Simone Binelli vendita diretta Sì  visita in azienda Sì,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Montepulciano D'Abruzzo Colline Teramane Apollo,,,Ausonia,Abruzzo,,14,Trebbiano abruzzese 100%,Risotto con gamberi.,,,,nd,nd,,,,,"12,5%",6,Acciaio 18 mesi,,,,"Giallo solare e luminoso. Un bouquet fruttato di banana, pesca gialla e melone bianco fa spazio a sfumature floreali di ginestra, camomilla, timo e menta. Ottima la beva, di buona acidità e sapore. Equilibrato e giustamente intenso, si congeda con fine epilogo di erbe aromatiche.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Cerasuolo D'Abruzzo Apollo,,,Ausonia,Abruzzo,,14,Montepulciano 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,"13,5%",13,Acciaio 18 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Baldassarre Montepulciano D'Abruzzo Baldassarre,,,Baldassarre,Abruzzo,,14,Montepulciano 100%,,,,,nd,nd,,,,,"12,5%",6,Acciaio 8 mesi,,,,"abbinamento Primi piatti di pasta o pasta fresca ripiena ettari 11,8  bottiglie 3.300 produzione olearia Sì proprietà Baldassarre conduzione enologica Staff aziendale conduzione agronomica Staff aziendale vendita diretta Sì  visita in azienda Sì",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Barba A (91)  Montepulciano D'Abruzzo I Vasari,,,Barba,Abruzzo,,18,Montepulciano 100%,Arrosticini. b r u z z o,,,,nd,nd,,,,,14%,3,Legno 10 mesi,,,,"Rubino  profondo.  Sensazioni  vigorose  di  prugna,  confettura  di visciole  e  mirtilli  sotto  spirito  anticipano  evoluzioni  di  tabacco biondo e caffè. All'assaggio è robusto, di carattere, con un tannino generoso ma ben integrato. La netta spalla acida assicura equilibrio e accompagna i ricordi fruttati.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Montepulciano D'Abruzzo Vignafranca,,,Barba,Abruzzo,,18,Montepulciano 100%,Spezzatino di maiale.,,,,nd,nd,,,,,"13,5%",40,Acciaio 4 mesi e Legno 12 mesi,,,,"Manto cremisi dall'aristocratica luce. Al naso conquista con un fondo fruttato da cui emergono tracce erbacee, memorie di cacao e tabacco e una rinfrescante pennellata balsamica. Il sorso è ricco e potente, il tannino graffiante e l'acidità ben sostengono la componente alcolica. Lunga vita davanti.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Montepulciano D'Abruzzo Colline Teramane Yang,,,Barba,Abruzzo,,9,Montepulciano 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,13%,40,Acciaio 4 mesi e Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Pecorino Vignafranca,,,Barba,Abruzzo,,8,Montepulciano 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,13%,13,Acciaio 8 mesi,,,,,Italy,,,
