Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,2019,,Abbazia Di Novacella Alto Adige Valle Isarco Riesling Praepositus,,,Abbazia Di Novacella,Alto-Adige,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Alto Adige Valle Isarco Gewürztraminer Praepositus,,,Abbazia Di Novacella,Alto-Adige,,22,Riesling 100%,Risotto alla crema di fave con gamberi scottati.,,,,nd,nd,,,,,13%,12,Acciaio 12 mesi,,,,"Oro  brillante  con  ricami  verdolini.  Emergono  delicati  aromi  di pesca,  albicocca,  ananas,  buccia  d’arancia  e  un  soffio  di  miele. Il sorso, che scorre leggiadro, è vivace e rinfrescante. Sfuma lasciando dietro di sé una traccia fruttata.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Alto Adige Lagrein Praepositus,,,Abbazia Di Novacella,Alto-Adige,,18,Gewürztraminer 100%,Formaggi stagionati o erborinati,,,,nd,nd,,,,,"14,5%",16,Acciaio 10 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Alto Adige Sauvignon Praepositus,,,Abbazia Di Novacella,Alto-Adige,,24,Lagrein 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,"13,5%",10,Legno 24 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Alto Adige Valle Isarco Sylvaner Praepositus,,,Abbazia Di Novacella,Alto-Adige,,17,Sauvignon 100%,Piatti di pesce,,,,nd,nd,,,,,"13,5%",7,Acciaio 10 mesi e Legno 10 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Alto Adige Valle Isarco Pinot Bianco Quota² Insolitus,,,Abbazia Di Novacella,Alto-Adige,,17,Sylvaner 100%,Formaggi freschi o a pasta filata,,,,nd,nd,,,,,"13,5%",11,Acciaio 10 mesi e Legno 10 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2015,,Arunda (94) Alto Adige Spumante Extra Brut Arunda Riserva,,,Arunda,Alto-Adige,,22,Pinot bianco 100%,bottiglie 100.000 produzione olearia No proprietà Marianne e Josef Reiterer conduzione enologica Josef Reiterer conduzione agronomica Josef Reiterer vendita diretta Sì  visita in azienda Sì,,,,nd,nd,,,,,12%,1,Legno 12 mesi,,,,abbinamento Carni bianche o da cortile ettari N.d.,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,Alto Adige Spumante Extra Brut Perpetum,,,Arunda,Alto-Adige,,25,,Scampi gratinati con emul- sione di erbe aromatiche.,,,,nd,nd,,,,,"12,5%",8,Acciaio 6 mesi,,,,"60 mesi sui lieviti Luminosa  veste  paglierino  tenue  ornata  da  sofisticato  perlage. Esordisce su fini sensazioni di lievito e crosta di pane, intervallate  dal  floreale  di  fiori  d’arancio.  Pesca  bianca,  pera  e  agrumi completano  il  quadro.  In  bocca  è  cremoso,  vivo  e  teso,  regala lunghe e appaganti scie di melissa.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,Alto Adige Spumante Extra Brut,,,Arunda,Alto-Adige,,25,,Formaggi freschi o a pasta filata,,,,nd,nd,,,,,"12,5%",2,Legno 12 mesi | 60 mesi sui lieviti,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Baron Di Pauli Alto Adige Cabernet Merlot Arzio Vigna Arzenhof Riserva,,,Baron Di Pauli,Alto-Adige,,22,,Risotti di terra,,,,nd,nd,,,,,"12,5%",10,Legno 12 mesi 24 mesi sui lieviti,,,,,Italy,,,
