Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,2018,,Alovini Matera Primitivo Hera,,,Alovini,Basilicata,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Le Ralle Bianco,,,Alovini,Basilicata,,17,Primitivo 100%,Agnello alla brace.,,,,nd,nd,,,,,"14,5%",4,Acciaio 2 mesi e Legno 12 mesi,,,,"che  apre  con  cenni  di  confettura  di  ciliegia,  viola  mammola, spezie dolci, caffè e cuoio. Molto intenso il palato con sali minerali e alcol a contendersi la scena. Persistenti gli aromi fruttati.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Le Ralle Rosato,,,Alovini,Basilicata,,8,Greco 100%,Risotti di pesce,,,,nd,nd,,,,,13%,14,Acciaio 2 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Alte Vigne Della Val Camastra Don Giulio,,,Alte Vigne,Basilicata,,8,,,,,,nd,nd,,,,,13%,16,Acciaio 2 mesi,,,,"abbinamento Carni bianche o da cortile viticoltura Convenzionale ettari 3,5  bottiglie 25.000 produzione olearia No proprietà Famiglia Buchicchio conduzione enologica Fabio Mecca conduzione agronomica Fabio Mecca vendita diretta Sì  visita in azienda Sì",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Siri Rosé,,,Alte Vigne,Basilicata,,15,Merlot 80% – Cabernet sauvignon 20%,Filetto alla Wellington.,,,,nd,nd,,,,,14%,4,Acciaio 3 mesi e Legno 12 mesi,,,,"Livrea rubino con barlumi granato. Ouverture di classe con menta e bastoncino di liquirizia, more e gelso nero che si fondono su scie speziate di pepe e tabacco. Il gusto si caratterizza in volume, morbidezza e sapore, tannino vivido e setoso, interessante la freschezza. Finale lungo.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Siri Bianco,,,Alte Vigne,Basilicata,,8,Cabernet sauvignon 100%,Salumi o insaccati,,,,nd,nd,,,,,13%,3,Acciaio 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Siri Rosso,,,Alte Vigne,Basilicata,,8,,Piatti di pesce,,,,nd,nd,,,,,13%,7,Acciaio 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2013,,Basilisco (96) Aglianico Del Vulture Superiore Storico,,,Basilisco,Basilicata,,7,Cabernet sauvignon 50% – Merlot 50%,Formaggi stagionati o erborinati,,,,nd,nd,,,,,13%,10,Acciaio 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2015,,Aglianico Del Vulture Superiore Basilisco,,,Basilisco,Basilicata,,80,Aglianico del Vulture 100%,Bistecca di manzetta podolica al pepe verde.,,,,nd,nd,,,,,"13,5%",1,Legno 20 mesi,,,,"Rubino compatto e profondo. Esordio intenso e fruttato con mirtillo quasi in confettura, prosegue con cenni di sottobosco e spezie dolci su uno sfondo balsamico. Il sorso è autoritario, caldo e avvolgente con il supporto di tannini eleganti. Finale persistente che ricorda la liquirizia.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Aglianico Del Vulture Teodosio,,,Basilisco,Basilicata,,28,Aglianico del Vulture 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,"13,5%",12,Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Sophia,,,Basilisco,Basilicata,,12,Aglianico del Vulture 100%,Primi piatti di pasta o pasta fresca ripiena,,,,nd,nd,,,,,14%,40,Acciaio 2 mesi e Legno 10 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Battifarano (92)  Matera Moro Curaffanni Riserva,,,Battifarano,Basilicata,,14,Fiano 100%,Piatti di pesce,,,,nd,nd,,,,,13%,10,Acciaio 8 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Toccacielo Rosso,,,Battifarano,Basilicata,,25,,Pappardelle al ragù di suino nero.,,,,nd,nd,,,,,14%,4,Acciaio 6 mesi,,,,"e Legno 24 mesi Manto rosso cremisi con striature granato. Olfatto raffinato: more e prugne, poi tracce ferruginose e minerali, erbe aromatiche, legno di sandalo, cenni di liquirizia e cacao. Gusto morbido, voluminoso, tannini precisi e rotondi, calibrati da freschezza e sapidità. Chiusura lunga e balsamica.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Toccacielo Bianco,,,Battifarano,Basilicata,,11,Merlot 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,"13,5%",10,Acciaio 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Matera Greco Le Paglie,,,Battifarano,Basilicata,,11,Chardonnay 100%,"Crostacei, molluschi o crudità",,,,nd,nd,,,,,"12,5%",10,Acciaio 3 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Matera Rosato Akratos,,,Battifarano,Basilicata,,13,Greco 100%,Piatti di verdure,,,,nd,nd,,,,,13%,10,Acciaio 3 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,B,,,Battifarano,Basilicata,,13,Primitivo 100%,,,,,nd,nd,,,,,13%,4,Acciaio 3 mesi,,,,abbinamento Primi piatti di pasta o pasta fresca ripiena a s i l i c a t a,Italy,,,
