Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,2022,,Vv Kr Rc Cz Cs 0 40.000 80.000 120.000 160.000 Var / Gen Bianco Igp Bianco Dop Bianco Var / Gen Rosso Igp Rosso Dop Rosso,,,E Misconosciuti Passiti Nazionali. La Leggenda Fa,Calabria,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,8.000 6.000 4.000 2.000 0 Cs Cz Rc Kr Vv Altro Igp Dop C D I S T A T,,,"Abbondante  Peperoncino,  Si  Consuma  Spalmata",Calabria,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2014,,"Antiche Vigne Savuto Rosso Superiore (91,5) Succo Di Pietra",,,Antiche Vigne,Calabria,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,021 Orange,,,Antiche Vigne,Calabria,,25,Magliocco dolce 100%,Falsomagro alla siciliana.,,,,nd,nd,,,,,14%,500,Acciaio 6 mesi e Legno 50 mesi,,,,"Granato  dalle  lente  movenze.  Preludio  odoroso  prorompente  e carico di aspettative presto soddisfatte: prugna appassita, dattero israeliano, viola e grafite, liquirizia e cenere di legni aromatici. Bocca che dona potenza ed equilibrio, e promette evoluzione e aderenza del vitigno al luogo natìo.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Savuto Rosso Classico,,,Antiche Vigne,Calabria,,16,Pecorello 100%,Primi piatti di pasta o pasta fresca ripiena,,,,nd,nd,,,,,13%,700,Acciaio 6 mesi e Legno 3 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Savuto Rosato Gida,,,Antiche Vigne,Calabria,,14,Magliocco dolce 80% – Greco nero 20%,Carni rosse o selvaggina,,,,nd,nd,,,,,14%,15,Acciaio 6 mesi e Legno 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Unico,,,Antiche Vigne,Calabria,,12,Magliocco dolce 100%,"Zuppe, minestre o vellutate",,,,nd,nd,,,,,13%,12,Acciaio 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Savuto Bianco Terra Di Ginestre,,,Antiche Vigne,Calabria,,16,Magliocco dolce 100%,Risotti di terra,,,,nd,nd,,,,,"14,5%",700,Acciaio 6 mesi e Legno 3 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Baroni Capoano Cirò Rosso Classico,,,Baroni Capoano,Calabria,,12,,,,,,nd,nd,,,,,"13,5%",12,Acciaio 6 mesi,,,,abbinamento Piatti di verdure ettari 40  bottiglie 250.000 produzione olearia Sì proprietà Massimiliano Capoano conduzione enologica Fabio Mecca conduzione agronomica Domenico Spataro vendita diretta Sì  visita in azienda Sì,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Cirò Rosso Classico Superiore Neruda,,,Baroni Capoano,Calabria,,10,Gaglioppo 100%,Pappardelle al ragù di cinghiale.,,,,nd,nd,,,,,"13,5%",20,Acciaio 6 mesi e Legno 6 mesi,,,,"Aranciato, trama coerente con la tipologia. Naso subito importante,  fra  rose  in  piena  fioritura  e  rimandi  di  ribes,  fragoline  di bosco, noce moscata e una nuvola di cacao. Il sorso è elegante e fresco, con tannino e calore mai sovrastanti. Cenni di rabarbaro in chiusura, decisa la persistenza.",Italy,,,
