Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,2022,,Ce Na Av Sa Bn 0 200.000 400.000 700.000 1.000.000 Var / Gen Bianco Igp Bianco Dop Bianco Var / Gen Rosso Igp Rosso Dop Rosso,,,Ed  Elementi  Minerali  Nasce  Un  Rosso  Potente  E,Campania,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,11.000 8.000 5.000 1.000 0 Bn Sa Av Na Ce Altro Igp Dop C D I S T A T,,,"Di Strada Insieme Alle Crocché, Pastecresciute, Palle ’E",Campania,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Agnanum Campi Flegrei Piedirosso,,,Agnanum,Campania,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Campi Flegrei Falanghina,,,Agnanum,Campania,,19,Piedirosso 100%,Po- lipetti alla Luciana.,,,,nd,nd,,,,,"12,5%",5,Acciaio 8 mesi,,,,"Rubino dai luminosi orli purpurei. Naso a due velocità: prima si apre lentamente con sussurri floreali; dopo deflagra con polvere pirica e spezie scure. In bocca si muove sospinto da un'onda di  succosa  spalla  acida,  fino  ad  assumere  un'energica  consistenza salina, appena contrastata da una sobria tannicità.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Sabbia Vulcanica,,,Agnanum,Campania,,15,Falanghina 100%,Piatti di pesce,,,,nd,nd,,,,,12%,18,Acciaio 8 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Aia Dei Colombi (92)  Falanghina Del Sannio Guardia Sanframondi Vigna Suprema,,,Aia Dei Colombi,Campania,,12,,Piatti di pesce,,,,nd,nd,,,,,12%,6,Acciaio 8 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Sannio Guardia Sanframondi Aglianico Colle Dell'Aia Riserva,,,Aia Dei Colombi,Campania,,14,Falanghina 100%,Calamari ripieni.,,,,nd,nd,,,,,14%,6,Acciaio 10 mesi,,,,"Paglierino  pieno  di  luce.  Una  progressione  olfattiva  che  viene scandita da intensi squilli di pesca bianca, camomilla ed erbe officinali. In bocca si lascia conquistare dalla freschezza, che accompagna il sorso conducendo a un finale saporito, appagante e compiuto, illuminato da continui riverberi fruttati.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Falanghina Del Sannio Guardia Sanframondi,,,Aia Dei Colombi,Campania,,23,Aglianico 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,"15,5%",2,Acciaio 6 mesi e Legno 18 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Sannio Guardia Sanframondi Aglianico,,,Aia Dei Colombi,Campania,,9,Falanghina 100%,Formaggi freschi o a pasta filata,,,,nd,nd,,,,,14%,25,Acciaio 5 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Aita Pariti Rosso,,,Aita,Campania,,15,Aglianico 100%,Salumi o insaccati,,,,nd,nd,,,,,"14,5%",12,Acciaio 10 mesi e Legno 8 mesi,,,,,Italy,,,
