Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,2022,,Albinea Canali Lambrusco Extra Dry Ottocentorosa,,,Albinea Canali,Emilia,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,Lambrusco Metodo Ancestrale,,,Albinea Canali,Emilia,,7,,Tigelle con pesto di lardo.,,,,nd,nd,,,,,11%,41,Acciaio 3 mesi,,,,"Lucente  livrea  rosea  dal  fine  perlage.  Ricordi  di  rosa,  effluvi  di fragoline di bosco e succosi ribes rossi inquadrano un olfatto intenso che chiude con echi mentolati e zucchero a velo. L'ingresso è aggraziato, con buona e vitale freschezza, e una beva davvero avvincente.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,Lambrusco Ottocentonero,,,Albinea Canali,Emilia,,8,,,,,,nd,nd,,,,,11%,1,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,1936,,Lambrusco  Biologico,,,Albinea Canali,Emilia,,7,,,,,,nd,nd,,,,,"11,5%",188,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,Lambrusco Meares,,,Albinea Canali,Emilia,,8,,,,,,nd,nd,,,,,"11,5%",14,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,Reggiano Lambrusco Foglierosse,,,Albinea Canali,Emilia,,7,,,,,,nd,nd,,,,,"10,5%",7,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Ariola Sinestesi Millesimato Spergola Brut,,,Ariola,Emilia,,6,,,,,,nd,nd,,,,,"11,5%",51,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Sauvignon Barbian,,,Ariola,Emilia,,15,Spergola 100%,Verdure pastellate.,,,,nd,nd,,,,,12%,40,Acciaio 4 mesi | 2 mesi sui lieviti,,,,"Sottili  bollicine  impreziosiscono  un  giallo  paglierino  di  buona luminosità. Esordio di frutta esotica, mela e susina, poi tratti di salvia e rosmarino cui segue l'iris bianco. Al palato sfoggia una vitale  agilità  e  un  equilibrio  composto.  Finale  lievemente  ammandorlato.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Lambrusco Dry Millesimato Marcello,,,Ariola,Emilia,,13,Sauvignon 100%,Primi piatti di pasta o pasta fresca ripiena,,,,nd,nd,,,,,12%,4,Acciaio 4 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Lintrigo Cuvée Extra Dry,,,Ariola,Emilia,,10,Lambrusco Maestri 100%,Salumi o insaccati,,,,nd,nd,,,,,11%,50,Acciaio 3 mesi | 1 mese sui lieviti,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Lintrigo Extra Dry Rosé,,,Ariola,Emilia,,9,Chardonnay 60% – Spergola 40%,Piatti di pesce,,,,nd,nd,,,,,11%,35,Acciaio 3 mesi | 1 mese sui lieviti,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2016,,Barbaterre Blanc De Blancs Brut Nature Millesimato,,,Barbaterre,Emilia,,9,,Salumi o insaccati,,,,nd,nd,,,,,11%,12,Acciaio 3 mesi | 1 mese sui lieviti,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2016,,Blanc De Noirs Brut Nature Millesimato,,,Barbaterre,Emilia,,20,Sauvignon 100%,Risotto con asparagi.,,,,nd,nd,,,,,"11,5%",1,Acciaio 8 mesi | 36 mesi sui lieviti,,,,"Smagliante paglierino delicato, movimentato da un'elegante corona. Raffinati sentori di piccola pasticceria aprono a nuance di pesca e ananas, su sfondo di fiore di sambuco e sbuffi mentolati. Assaggio  deciso  e  dinamico,  che  lascia  una  buona  freschezza dal gusto agrumato.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2011,,Brut Rosé Brut Nature Millesimato,,,Barbaterre,Emilia,,20,Pinot nero 100%,Piatti di pesce,,,,nd,nd,,,,,"12,5%",,Acciaio 8 mesi | 36 mesi sui lieviti,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,Francesco Bellei Bellei Cuvée Brut,,,Francesco Bellei,Emilia,,24,Pinot nero 100%,,,,,nd,nd,,,,,12%,2,Acciaio 8 mesi | 36 mesi sui lieviti,,,,"abbinamento Crostacei, molluschi o crudità ettari 70  bottiglie 30.000 produzione olearia No proprietà Famiglia Cavicchioli conduzione enologica Sandro Cavicchioli conduzione agronomica Sandro Cavicchioli vendita diretta Sì  visita in azienda Sì",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Bellei Brut Rosso,,,Francesco Bellei,Emilia,,25,Pinot nero 70% – Chardonnay 30%,Tortelloni alle erbette.,,,,nd,nd,,,,,"12,5%",12,Acciaio 5 mesi | 24 mesi sui lieviti,,,,"Fini bollicine movimentano l'abito paglierino. Profumi di pasticceria  salata  passano  il  testimone  a  lavanda  e  salvia,  a  refoli  di melone e pompelmo avvolti da erbe aromatiche. Vino di spessore e generoso che si fregia di una dilettevole lunghezza. Stuzzicante.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Lambrusco Di Modena Ancestrale,,,Francesco Bellei,Emilia,,20,Lambrusco di Sorbara 100%,Risotti di terra,,,,nd,nd,,,,,12%,6,Acciaio 5 mesi | 24 mesi sui lieviti,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Pignoletto Di Modena Ancestrale,,,Francesco Bellei,Emilia,,13,,"Crostacei, molluschi o crudità",,,,nd,nd,,,,,"11,5%",3,Acciaio 5 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,E,,,Francesco Bellei,Emilia,,13,,Piatti di verdure m i l i a,,,,nd,nd,,,,,"11,5%",3,Acciaio 5 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Botti Colli Bolognesi Pignoletto Lieto Brut,,,Botti,Emilia,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
