Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,2019,,Amandum Friuli Isonzo Pinot Bianco,,,Amandum,Friuli-Venezia-Giulia,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Friuli Isonzo Sauvignon,,,Amandum,Friuli-Venezia-Giulia,,18,Pinot bianco 100%,Fiori di zucca ripieni.,,,,nd,nd,,,,,"12,5%",3,Acciaio 12 mesi,,,,"Giallo paglierino di splendida luce. Olfatto contraddistinto da copiose sensazioni di frutta a polpa bianca e gialla, susina, erbe fini dell’orto,  salvia  e  rosmarino.  Pieno  e  avvolgente  al  palato,  sorretto  da  ottima  freschezza  e  buona  sapidità.  Finale  fruttato  ed erbaceo.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Friuli Isonzo Pinot Grigio Grey,,,Amandum,Friuli-Venezia-Giulia,,18,Sauvignon 100%,Piatti di pesce,,,,nd,nd,,,,,"12,5%",2,Acciaio 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Cabernet Franc,,,Amandum,Friuli-Venezia-Giulia,,18,Pinot grigio 100%,"Zuppe, minestre o vellutate",,,,nd,nd,,,,,13%,3,Acciaio 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Angoris Collio Bianco Riserva Giulio Locatelli Langor,,,Angoris,Friuli-Venezia-Giulia,,24,Cabernet franc 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,"13,5%",2,Acciaio 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Friuli Colli Orientali Chardonnay Spìule Riserva Giulio Locatelli,,,Angoris,Friuli-Venezia-Giulia,,22,altre varietà 100%,Insalata di champignon.,,,,nd,nd,,,,,"13,5%",3,Acciaio 12 mesi,,,,"Lucente  specchio  dal  colore  paglierino.  Percorso  odoroso  che conduce a miscellanea di frutta gialla matura e chips di banana, poi erbe mediterranee essiccate, fiori di ginestra e spezie dolci. Al gusto è materico e sapido sino alla chiusura, equilibrata e persistente.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Friuli Colli Orientali Friulano,,,Angoris,Friuli-Venezia-Giulia,,22,Chardonnay 100%,Piatti di pesce,,,,nd,nd,,,,,14%,3,Acciaio 12 mesi e Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Friuli Colli Orientali Schioppettino,,,Angoris,Friuli-Venezia-Giulia,,20,Tocai friulano 100%,Risotti di pesce,,,,nd,nd,,,,,14%,18,Acciaio 8 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Collio Pinot Grigio,,,Angoris,Friuli-Venezia-Giulia,,20,Schioppettino 100%,Carni bianche o da cortile,,,,nd,nd,,,,,"13,5%",8,Acciaio 6 mesi e Legno 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Friuli Isonzo Sauvignon Villa Locatelli,,,Angoris,Friuli-Venezia-Giulia,,20,Pinot grigio 100%,Formaggi freschi o a pasta filata,,,,nd,nd,,,,,14%,7,Acciaio 8 mesi,,,,,Italy,,,
