Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,1701,,(92)  Franciacorta Brut Satèn 2016,,,1701,Lombardia,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,Sullerba Non Dosato,,,1701,Lombardia,,32,Chardonnay 100%,Risotto con gli scampi.,,,,nd,nd,,,,,"12,5%",15,Acciaio 8 mesi e Legno 8 mesi | 40 mesi sui lieviti,,,,"Vivido  perlage  dai  riflessi  verdolini.  Esordisce  con  accenti  di mela  renetta  e  cedro,  biancospino  e  rosa,  per  poi  adagiarsi  su uno sfondo di timo. Al palato è equilibrato: la carbonica carezzevole accompagna il finale persistente grazie a un'intensa scia di sensazioni fruttate.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,Franciacorta Brut Nature,,,1701,Lombardia,,20,,Piatti di pesce,,,,nd,nd,,,,,11%,8,Acciaio 8 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Franciacorta Brut Nature Rosé,,,1701,Lombardia,,24,Chardonnay 85% – Pinot nero 15%,Carni bianche o da cortile,,,,nd,nd,,,,,12%,30,Acciaio 8 mesi | 24 mesi sui lieviti,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Surnàt,,,1701,Lombardia,,38,Pinot nero 100%,Salumi o insaccati,,,,nd,nd,,,,,"12,5%",3,Acciaio 8 mesi | 30 mesi sui lieviti,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Fratelli Agnes Loghetto,,,Fratelli Agnes,Lombardia,,18,Chardonnay 100%,,,,,nd,nd,,,,,12%,3,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Bonarda Dell'Oltrepò Pavese Frizzante Cresta Del Ghiffi,,,Fratelli Agnes,Lombardia,,18,Croatina 75% – altre varietà 25%,,,,,nd,nd,,,,,15%,1,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2016,,Poculum,,,Fratelli Agnes,Lombardia,,9,Croatina 100%,,,,,nd,nd,,,,,"13,5%",13,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Possessione Del Console,,,Fratelli Agnes,Lombardia,,15,Croatina 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,15%,2,Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Bonarda Dell'Oltrepò Pavese Frizzante Campo Del Monte,,,Fratelli Agnes,Lombardia,,10,Croatina 80% – altre varietà 20%,,,,,nd,nd,,,,,15%,6,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2015,,Alessio Brandolini (91)  I Ger,,,Alessio Brandolini,Lombardia,,10,Croatina 100%,,,,,nd,nd,,,,,14%,8,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Note D'Agosto Extra Brut Rosé,,,Alessio Brandolini,Lombardia,,50,Pinot nero 100%,,,,,nd,nd,,,,,"12,5%",500,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,I Prà,,,Alessio Brandolini,Lombardia,,25,Pinot nero 100%,,,,,nd,nd,,,,,"12,5%",4,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Al Negrès,,,Alessio Brandolini,Lombardia,,20,Riesling renano 100%,Piatti di verdure,,,,nd,nd,,,,,13%,2,Acciaio 8 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Luogo D'Agosto Brut Nature,,,Alessio Brandolini,Lombardia,,22,Pinot nero 100%,Carni bianche o da cortile,,,,nd,nd,,,,,13%,3,Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Il Pozzo,,,Alessio Brandolini,Lombardia,,25,Pinot nero 100%,,,,,nd,nd,,,,,"12,5%",8,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Annibale Alziati Bonarda Dell'Oltrepò Pavese Gaggiarone Vigne Vecchie,,,Annibale Alziati,Lombardia,,15,Barbera 100%,Risotti di terra,,,,nd,nd,,,,,14%,3,Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Gaggiarone Dintorni,,,Annibale Alziati,Lombardia,,19,Croatina 95% – Uva rara 5%,,,,,nd,nd,,,,,15%,2,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2010,,Bonarda Dell'Oltrepò Pavese Gaggiarone Riserva,,,Annibale Alziati,Lombardia,,14,Croatina 100%,,,,,nd,nd,,,,,"14,5%",6,,,,,,Italy,,,
