Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,2019,,Agricola Armònja Gioia Del Colle Primitivo Corte Sant'Elia,,,Agricola Armònja,Puglia,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Albea Petrarosa,,,Albea,Puglia,,17,Primitivo 100%,"ettari 68  bottiglie 380.000 produzione olearia No proprietà Renzini Holding conduzione enologica Claudio Sisto, Mourad Ovada conduzione agronomica Mourad Ovada vendita diretta Sì  visita in azienda Sì",,,,nd,nd,,,,,16%,3,Acciaio 6 mesi e Legno 3 mesi,,,,"Mantello purpureo impenetrabile, di grande consistenza. Incipit floreale, poi toni di ciliegia, timo e spezie dolci, carezzati da brezze balsamiche. Sorso caldo, profondo, vigoroso eppure impeccabilmente bilanciato da freschezza palpitante e tannino levigato. Lungo finale fruttato e di erbe aromatiche. Bombette al fornello.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Locorotondo Il Selva,,,Albea,Puglia,,18,Primitivo 100%,Polpo  arrosto  su vellutata di ceci.,,,,nd,nd,,,,,"12,5%",18,Acciaio 3 mesi,,,,"Invitante  rosa  corallo,  dai  bagliori  cristallini.  Naso  che  cattura con  espressioni  floreali  di  petalo  di  rosa  e  glicine,  subito  raggiunte da richiami di pompelmo rosa, pesca bianca e mela. Palato avvolgente, di ammirevole compostezza, equilibrato a dovere  da  freschezza  palpitante.  Finale  agrumato.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Petranera,,,Albea,Puglia,,16,,Piatti di pesce,,,,nd,nd,,,,,"12,5%",20,Acciaio 3 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2016,,Odegitria,,,Albea,Puglia,,18,Primitivo 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,14%,25,Acciaio 3 mesi e Legno 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Amastuola (92)  Aglianico,,,Amastuola,Puglia,,30,,,,,,nd,nd,,,,,13%,2,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Ondarosa,,,Amastuola,Puglia,,15,Aglianico 100%,Pecora a cutturidd.,,,,nd,nd,,,,,14%,15,Legno 24 mesi,,,,"Mantello rubino scintillante. Ampio scenario olfattivo di mora di rovo, mirtillo e pot-pourri, accenni di sottobosco, scatola di sigari, radice di liquirizia, bacca di ginepro e rabarbaro. Bocca potente con succosa freschezza e di tannini fermi e vellutati. Persistenza lunga permeata da ricordi di tostatura.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Bialento,,,Amastuola,Puglia,,9,Aglianico 100%,,,,,nd,nd,,,,,12%,13,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Negroamaro,,,Amastuola,Puglia,,9,,,,,,nd,nd,,,,,"12,5%",15,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Primitivo,,,Amastuola,Puglia,,15,Negroamaro 100%,Carni bianche o da cortile,,,,nd,nd,,,,,"14,5%",15,Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Calaprice,,,Amastuola,Puglia,,12,Primitivo 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,14%,60,Legno 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,"Donato Angiuli P (91,5)  Maccone Passito Nero Di Troia",,,Donato Angiuli,Puglia,,9,,,,,,nd,nd,,,,,13%,30,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Gioia Del Colle Primitivo Adelphos,,,Donato Angiuli,Puglia,,20,Nero di Troia 100%,Pan di spezie.,,,,nd,nd,,,,,14%,1,Acciaio 12 mesi,,,,"Rubino  con  lampi  purpurei.  Effonde  delizie  odorose  di  marasca, prugna secca e visciola, impreziosite da ricordi di cioccolato fondente, caffè e cardamomo in una rinfrescante atmosfera balsamica.  Sorso  avvolgente,  con  presenza  tannica  di  squisita fattura  a  bilanciare  la  misurata  dolcezza.  Chiusura  armoniosa.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Moscato Secco Maccone,,,Donato Angiuli,Puglia,,9,Primitivo 100%,Formaggi stagionati o erborinati,,,,nd,nd,,,,,15%,12,Acciaio 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Maccone Rosato 17,,,Donato Angiuli,Puglia,,12,Moscato bianco 100%,Piatti di pesce,,,,nd,nd,,,,,13%,4,Acciaio 4 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Maccone Rosso 17,,,Donato Angiuli,Puglia,,25,Primitivo 90% – altre varietà 10%,Carni bianche o da cortile,,,,nd,nd,,,,,17%,700,Acciaio 4 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,1958,,Maccone Primitivo Passito  2019,,,Donato Angiuli,Puglia,,25,Primitivo 90% – altre varietà 10%,Salumi o insaccati,,,,nd,nd,,,,,17%,6,Acciaio 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Antica Enotria Vriccio Primitivo,,,Antica Enotria,Puglia,,40,Primitivo 100%,,,,,nd,nd,,,,,"13,5%",2,Acciaio 12 mesi,,,,"abbinamento Pasticceria secca, torte o cioccolato ettari 20  bottiglie 100.000 produzione olearia Sì proprietà Famiglia Di Tuccio conduzione enologica Aldo Avello conduzione agronomica Luigi Di Tuccio vendita diretta Sì  visita in azienda Sì",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Rosso,,,Antica Enotria,Puglia,,13,Primitivo 100%,Filetto di manzo ai funghi cardoncelli.,,,,nd,nd,,,,,"13,5%",8,Acciaio 12 mesi,,,,"Rubino lucente. Al naso invitante carrellata di ciliegia sotto spirito, cioccolato fondente, mirtillo e succo di melagrana; a seguire alloro, timo e maggiorana, su sfondo di caffè. Bocca salda, dotata di piacevole avvolgenza e di tannino levigato; succosa freschezza e vivida sapidità arricchiscono il sorso.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Nero Di Troia,,,Antica Enotria,Puglia,,7,,Carni rosse o selvaggina,,,,nd,nd,,,,,"12,5%",18,Acciaio 7 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Bianco,,,Antica Enotria,Puglia,,13,Nero di Troia 100%,Formaggi stagionati o erborinati,,,,nd,nd,,,,,"13,5%",8,Acciaio 12 mesi e Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Falanghina,,,Antica Enotria,Puglia,,7,Falanghina 50% – Fiano 50%,Piatti di pesce,,,,nd,nd,,,,,13%,8,Acciaio 4 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Negroamaro,,,Antica Enotria,Puglia,,12,Falanghina 100%,Piatti di pesce,,,,nd,nd,,,,,"13,5%",12,Acciaio 5 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Antica Masseria Jorche Primitivo Di Manduria Riserva,,,Antica Masseria Jorche,Puglia,,13,Negroamaro 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,"13,5%",6,Legno 14 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Primitivo Di Manduria,,,Antica Masseria Jorche,Puglia,,27,Primitivo 100%,Pecorino stagionato in grotta.,,,,nd,nd,,,,,16%,20,Acciaio 12 mesi e Legno 12 mesi,,,,"Granato di gran stoffa. Aprono il sipario olfattivo note di prugna matura, ciliegia scura, frutta secca, cioccolato fondente e spezie  dolci,  con  una  ventata  mentolata  balsamica.  Il  sorso  trova vigore,  profondità  e  setosa  avvolgenza,  traendo  slancio  da  un tannino fitto e vellutato e da un'elegante persistenza.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Primitivo Di Manduria Dolce Naturale Lo Apu,,,Antica Masseria Jorche,Puglia,,20,Primitivo 100%,Formaggi stagionati o erborinati,,,,nd,nd,,,,,15%,20,Acciaio 12 mesi e Legno 9 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,1870,,"Apollonio  (93,5)  Divoto Copertino Rosso Riserva 2012",,,Apollonio 1870,Puglia,,28,Primitivo 100%,500.000 produzione olearia No proprietà Famiglia Apollonio conduzione enologica Massimiliano Antonio Apollonio conduzione agronomica Elio Rizzo vendita diretta Sì  visita in azienda Sì,,,,nd,nd,,,,,"14,5%",2,Acciaio 6 mesi e Legno 5 mesi,,,,"abbinamento Pasticceria secca, torte o cioccolato ettari 120  bottiglie 1.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Terragnolo Negroamaro,,,Apollonio 1870,Puglia,,32,Negroamaro 70% – Montepulciano 30%,Stra- cotto di asino.,,,,nd,nd,,,,,"14,5%",15,Legno 24 mesi,,,,"Rubino profondo verso il granato. Naso di straordinaria eleganza,  che  dispensa  spunti  di  pot-pourri,  arancia  candita,  ciliegia matura,  prugna,  tabacco  e  spezie  dolci.  Bocca  sontuosa,  avvolgente, cesellata da tannini levigati e slanciata da ottima freschezza. Finale interminabile di arancia candita e spezie.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Terragnolo Primitivo,,,Apollonio 1870,Puglia,,19,Negroamaro 100%,Carni rosse o selvaggina,,,,nd,nd,,,,,15%,100,Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Mani Del Sud Salice Salentino Bianco,,,Apollonio 1870,Puglia,,20,Primitivo 100%,Formaggi stagionati o erborinati,,,,nd,nd,,,,,15%,100,Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2016,,Valle Cupa,,,Apollonio 1870,Puglia,,12,Chardonnay 80% – Sauvignon 20%,Piatti di pesce,,,,nd,nd,,,,,13%,10,Legno 3 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Mani Del Sud Squinzano Rosso,,,Apollonio 1870,Puglia,,20,Negroamaro 50% – Primitivo 50%,Carni rosse o selvaggina,,,,nd,nd,,,,,15%,100,Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2016,,Attanasio Giuseppe P (91)  Primitivo Di Manduria,,,Attanasio Giuseppe,Puglia,,14,,Salumi o insaccati u g l i a,,,,nd,nd,,,,,14%,10,Legno 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Primitivo Rosato,,,Attanasio Giuseppe,Puglia,,28,Primitivo 100%,Agnello al forno con patate aromatizzate al timo.,,,,nd,nd,,,,,"16,5%",10,Acciaio 24 mesi e Legno 12 mesi,,,,"Granato fitto e lucente. Impianto olfattivo ampio e tipico; si alternano prugna disidratata e fico secco, tabacco e foglie autunnali, resine e chiodi di garofano, con cornice mentolata e di macchia mediterranea.  Il  sorso  è  avvolgente  e  sostenuto  da  un  tannino fitto e levigato. Finale di tabacco dolce e cacao.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Cantine Barsento Gioia Del Colle Primitivo Casaboli Riserva,,,Cantine Barsento,Puglia,,15,Primitivo 100%,Formaggi freschi o a pasta filata,,,,nd,nd,,,,,15%,10,Acciaio 3 mesi,,,,,Italy,,,
