Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,2020,,Abbazia Monte Oliveto Vernaccia Di San Gimignano La Gentilesca,,,Abbazia Monte Oliveto,Toscana,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Vernaccia Di San Gimignano,,,Abbazia Monte Oliveto,Toscana,,12,Vernaccia di San Gimignano 100%,Pasta con le sarde.,,,,nd,nd,,,,,"12,5%",3,Acciaio 8 mesi e Legno 8 mesi,,,,"Paglierino  luminoso.  L’impatto  olfattivo  rivela  profumi  di  mela golden, banana, pompelmo, diospiro, iris, fiore di cappero e infine ricordi di miele di acacia. Avvolge una morbidezza gustativa in giusto equilibrio con una vena fresca e sapida in un finale di media persistenza dai ritorni di lime.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Revolta,,,Abbazia Monte Oliveto,Toscana,,9,,Risotti di pesce,,,,nd,nd,,,,,"12,5%",37,Acciaio 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2016,,Acquabona Voltraio,,,Acquabona,Toscana,,9,,Piatti di pesce,,,,nd,nd,,,,,10%,4,Acciaio 5 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Elba Rosso Riserva,,,Acquabona,Toscana,,20,Merlot 40% – Petit verdot 30% – Syrah 30%,Pappardelle al cinghiale.,,,,nd,nd,,,,,14%,1,Acciaio 6 mesi e Legno 30 mesi,,,,"Rubino vivo, naso elegante con ribes nero, mirtilli, ciliegia, note floreali di viola e glicine, spezie e tabacco da pipa. Il sorso è piacevole  e  rotondo  con  un  tannino  morbido  e  setoso,  perfetta  la freschezza  fruttata  che  equilibra  il  palato.  Finale  con  ritorni  di frutta rossa.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Elba Aleatico Passito,,,Acquabona,Toscana,,20,Sangiovese 70% – Merlot 30%,Carni bianche o da cortile,,,,nd,nd,,,,,14%,2,Acciaio 6 mesi e Legno 24 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Elba Vermentino,,,Acquabona,Toscana,,26,Aleatico 100%,"Pasticceria secca, torte o cioccolato",,,,nd,nd,,,,,"13,5%",3,Acciaio 6 mesi e Legno 36 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Ansonica Dell'Elba,,,Acquabona,Toscana,,11,Vermentino 90% – Viognier 10%,Piatti di pesce,,,,nd,nd,,,,,"13,5%",11,Acciaio 5 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Elba Rosato,,,Acquabona,Toscana,,11,Ansonica 85% – Vermentino 15%,Piatti di verdure,,,,nd,nd,,,,,13%,8,Acciaio 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2012,,Amiata Montecucco Sangiovese Lavico,,,Amiata,Toscana,,9,,,,,,nd,nd,,,,,13%,8,Acciaio 5 mesi,,,,"abbinamento Zuppe, minestre o vellutate ettari 2,5  bottiglie 12.000 produzione olearia Sì proprietà Simone Toninelli conduzione enologica Simone Toninelli, Filippo Paoletti conduzione agronomica Simone Toninelli, Filippo Paoletti vendita diretta Sì  visita in azienda Sì",Italy,,,
