Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,2015,,Adanti Montefalco Sagrantino Arquata,,,Adanti,Umbria,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2016,,Montefalco Rosso Riserva,,,Adanti,Umbria,,30,Sagrantino 100%,Quaglie al tartufo nero.,,,,nd,nd,,,,,"14,5%",17,Legno 30 mesi,,,,"Bordo granato. Articolato scenario olfattivo con visciola in confettura, succo di mirtillo, arancia sanguinella e a seguire pepe nero, liquirizia, menta e polvere di cacao. Sorso asciutto ed equilibrato con tannino amalgamato nell’avvolgenza alcolica. Residua striatura sapida nel lungo finale fruttato.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2013,,L'Arquata Di Alvaro,,,Adanti,Umbria,,25,Sangiovese 80% – Sagrantino 20%,Salumi o insaccati,,,,nd,nd,,,,,"14,5%",10,Legno 30 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2014,,Montefalco Sagrantino Passito,,,Adanti,Umbria,,35,Cabernet 40% – Merlot 40% – Barbera 20%,Primi piatti di pasta o pasta fresca ripiena,,,,nd,nd,,,,,"14,5%",5,Legno 36 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2017,,Montefalco Rosso,,,Adanti,Umbria,,30,Sagrantino 100%,Formaggi stagionati o erborinati,,,,nd,nd,,,,,14%,4,Legno 48 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Montefalco Grechetto,,,Adanti,Umbria,,15,,Piatti di verdure,,,,nd,nd,,,,,"14,5%",50,Acciaio 12 mesi e Legno 7 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2018,,Altarocca Rosso D'Altarocca,,,Altarocca,Umbria,,12,Grechetto 100%,Formaggi freschi o a pasta filata,,,,nd,nd,,,,,"13,5%",12,Acciaio 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Orvieto Classico Arcosesto,,,Altarocca,Umbria,,30,Merlot 100%,Filetto di vitello in crosta di pistacchi con amarene.,,,,nd,nd,,,,,14%,2,Acciaio 6 mesi e Legno 14 mesi,,,,"Rubino dalla  lieve trasparenza. La frutta rossa in  confettura è  la protagonista del racconto odoroso insieme a spezie dolci, tracce mentolate e leggere tostature. Al palato il contrappunto del sottile tannino e della sapidità distendono la beva che lascia un ricordo di frutti rossi.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Orvieto Classico Superiore Albaco,,,Altarocca,Umbria,,9,,Piatti di verdure,,,,nd,nd,,,,,14%,3,Acciaio 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Bianco D'Altarocca,,,Altarocca,Umbria,,15,Chardonnay 40% – Grechetto 40% – Trebbiano 20%,Primi piatti di pasta o pasta fresca ripiena,,,,nd,nd,,,,,13%,6,Acciaio 8 mesi e Legno 2 mesi,,,,,Italy,,,
