Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2022,2019,,Valle D'Aosta Chardonnay Main Et Cœur,,,Maison Anselmet,Vda,,,,,,,,nd,nd,,,,,,,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Valle D'Aosta Chardonnay Élevé En Fût De Chêne,,,Maison Anselmet,Vda,,62,Chardonnay 100%,Ravioli di boudin saltati al burro di nocciole.,,,,nd,nd,,,,,14%,1,Legno 18 mesi,,,,"Giallo  paglierino  luminoso  con  riflessi  dorati.  Esordio  odoroso di pesca bianca, fiori di mandorlo, biscotto e un sussurro di spezie  dolci.  All'assaggio  è  morbido,  caldo  e  avvolgente,  sorretto da ottima sapidità e sublime mineralità.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,Le Prisonnier,,,Maison Anselmet,Vda,,38,Chardonnay 100%,Risotti di pesce,,,,nd,nd,,,,,"13,5%",5,Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Valle D'Aosta Pinot Noir Semel Pater,,,Maison Anselmet,Vda,,70,,Carni rosse o selvaggina,,,,nd,nd,,,,,"14,5%",1,Legno 18 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Valle D'Aosta Syrah Henri,,,Maison Anselmet,Vda,,45,Pinot nero 100%,Carni bianche o da cortile,,,,nd,nd,,,,,"13,5%",2,Legno 18 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Valle D'Aosta Chardonnay,,,Maison Anselmet,Vda,,32,Syrah 100%,Formaggi stagionati o erborinati,,,,nd,nd,,,,,14%,4,Legno 12 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2022,,Scaccomatto,,,Edoardo Braga,Vda,,17,Chardonnay 100%,"Crostacei, molluschi o crudità Edoardo Braga",,,,nd,nd,,,,,"13,5%",4,Acciaio 6 mesi e Legno 10 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Valle D'Aosta Chambave Muscat,,,Edoardo Braga,Vda,,30,Petit rouge 50% – altre varietà 50%,Carbonada di cinghiale e polenta concia.,,,,nd,nd,,,,,"15,5%",600,Legno 36 mesi,,,,"Scuro manto rubino con screziature granato. Variegato caleidoscopio olfattivo: prugna, arancia sanguinella, tamarindo, tartufo nero, humus, rosmarino e leggere tracce mentolate. Il sorso, imponente, è sorretto da una grande freschezza, con lunghissimo finale di liquirizia.",Italy,,,
2,,,,,,,,,,,,,,,,,2022,2020,,Valle D'Aosta Pinot Gris,,,Edoardo Braga,Vda,,17,Moscato bianco 100%,Formaggi freschi o a pasta filata,,,,nd,nd,,,,,13%,2,Acciaio 6 mesi,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2022,2019,,Valle D'Aosta Cornalin,,,Edoardo Braga,Vda,,17,Pinot grigio 100%,"Crostacei, molluschi o crudità",,,,nd,nd,,,,,14%,1,Acciaio 6 mesi,,,,,Italy,,,
