Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2020,,Arantius Orange Alba Colle,,,L,Lazio,,17,Maturano 100%,Tacchino stufato con peperoni e radicchio,,,89,nd,nd,,,,,14,0,,Terracotta 8 mesi,,,"Oro antico luminosissimo. Al naso si offre con incastri di arancia matura, fiori di tiglio, infusione e iodio, tenuti insieme da un’intelaiatura balsamica. Potente e raffinato all’assaggio, con freschezza e trama tannica che ben bilanciano l’importante alcolicità. Lungo, sapido e soddisfacente.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Atina Cabernet Rubro Del Colle Riserva,,,L,Lazio,,17,Cabernet 90% – Merlot 10%,Brasato di lepre con riduzione di vino rosso,,,89,nd,nd,,,,,14,0,,Terracotta 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,L Et L,,,L,Lazio,,17,Cabernet sauvignon 50% – Merlot 50%,Involtini di vitello lardellati,,,86,nd,nd,,,,,14,0,,Terracotta 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Merulae Vitis,,,L,Lazio,,17,Cabernet 90% – Merlot 10%,Tagliata al pepe verde,,,86,nd,nd,,,,,14,0,,Terracotta 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Rubro Del Colle Atina Cabernet,,,L,Lazio,,17,Cabernet 90% – Merlot 10%,Strudel di porcini e zucca con crema al Parmigiano,,,82,nd,nd,,,,,14,0,,Terracotta 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Rubro Del Colle Rosé,,,L,Lazio,,17,Cabernet 50% – Merlot 50%,Sauté di cozze,,,82,nd,nd,,,,,14,0,,Terracotta 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Terra Di Vento,,,Antica Cantina Leonardi,Lazio,,12,Vermentino 85% – Viognier 15%,Acciaio 3 mesi e Legno 3 mesi Zuppa di legumi e cereali,,,89,nd,nd,,,,,13,6,,Acciaio 3 mesi,,,"Paglierino lucente. Ampio ventaglio, con folate di timo ed erbe aromatiche seguite da refoli freschi, mentolati, di ginestra e di agrumi. Al gusto la vena glicerica si fonde con la ricca e fine traccia fresco-sapida, dando equilibrio al vino. Finale persistente, con richiami di frutto e di erbe aromatiche. Filetti di trota al vapore con maionese. EST! EST!! EST!!! DI MONTEFIASCONE POGGIO DEL CARDINALE 2021 Bianco Dop Trebbiano 50%, Rossetto 30%, Malvasia 20% Alc. 13% | € 12 | Bt. 10.000 | Ferm. Legno e Acciaio | Mat.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Don Carlo,,,Antica Cantina Leonardi,Lazio,,12,Merlot 70% – Cabernet franc 15% – Cabernet sauvignon 15%,Cinghiale in umido,,,89,nd,nd,,,,,13,6,,Acciaio 3 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Nero Di Lava,,,Antica Cantina Leonardi,Lazio,,12,Syrah 100%,Carré di maiale con patate al forno,,,89,nd,nd,,,,,13,6,,Acciaio 3 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Luce Di Lago,,,Antica Cantina Leonardi,Lazio,,12,Rossetto 100%,Filetti di pesce persico al burro e timo,,,89,nd,nd,,,,,13,6,,Acciaio 3 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Antica Cantina Leonardi Dosage Zéro,,,Antica Cantina Leonardi,Lazio,,12,Chardonnay 70% – Riesling renano 30%,24 mesi sui lieviti Riso venere con verdure e crostacei,,,86,nd,nd,,,,,13,6,,Acciaio 3 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Luce Di Lago,,,Antica Cantina Leonardi,Lazio,,12,,,,,89,nd,nd,,,,,13,6,,Acciaio 3 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Pensiero,,,Antica Cantina Leonardi,Lazio,,12,,,,,86,nd,nd,,,,,13,6,,Acciaio 3 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Atina Cabernet Duca Cantelmo Riserva,,,Antica Tenuta Palombo,Lazio,,12,Cabernet sauvignon 100%,,,,89,nd,nd,,,,,14,3,,   Acciaio    6    mesi    e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Merlot,,,Antica Tenuta Palombo,Lazio,,12,Merlot 100%,Guanciale di vitello in umido con patate,,,86,nd,nd,,,,,14,3,,   Acciaio    6    mesi    e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Atina Cabernet,,,Antica Tenuta Palombo,Lazio,,12,Cabernet sauvignon 100%,Spezzatino di manzo,,,82,nd,nd,,,,,14,3,,   Acciaio    6    mesi    e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Sauvignon,,,Antica Tenuta Palombo,Lazio,,12,Sauvignon 100%,wineryname Antica Tenuta Palombo (1980) wineryname,,,82,nd,nd,,,,,14,3,,   Acciaio    6    mesi    e,,,,Italy,,,
