Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2019,,Shaula,,,Albana La Torre,Liguria,,36,Grenache 90% – Aleatico 10%,Agnello al forno con rosmarino,,,86,nd,nd,,,,,13,1,,Acciaio 10 mesi,,,"Rosso rubino intenso. Mora di rovo, sciroppo di ribes nero, ciliegia, richiami di sottobosco, seguiti da un refolo balsamico che ricorda le essenze mediterranee. Il sorso è pieno, equilibrato, il tannino è garbato. Freschezza e sapidità regalano dinamicità all’assaggio con epilogo delicatamente tostato.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Riviera Ligure Di Ponente Pigato Vigne Vëggie,,,Massimo Alessandri,Liguria,,20,Pigato 100%,Torta salata alle zucchine e origano,,,89,nd,nd,,,,,14,3,,Legno 10 mesi,,,"Giallo paglierino di buona intensità e vivacità. Al naso rivela sentori fruttati di pesca polpa gialla matura, macchia mediterranea ed erbe aromatiche con sentori minerali appena accennati. Potente ed equilibrato con durezze ben presenti. Ottima persistenza con un finale asciutto e piacevolmente ammandorlato.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Riviera Ligure Di Ponente Granaccia Costa De Vigne,,,Massimo Alessandri,Liguria,,20,Granaccia 100%,Costolette di maiale alla brace,,,89,nd,nd,,,,,14,3,,Legno 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Viorus,,,Massimo Alessandri,Liguria,,20,Viognier 90% – Roussanne 10%,Montasio stravecchio,,,89,nd,nd,,,,,14,3,,Legno 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Riviera Ligure Di Ponente Pigato Costa De Vigne,,,Massimo Alessandri,Liguria,,20,Pigato 100%,Flan di zucchine e carote,,,86,nd,nd,,,,,14,3,,Legno 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Riviera Ligure Di Ponente Rossese Costa De Vigne,,,Massimo Alessandri,Liguria,,20,Rossese 100%,Stracciatella di bufala,,,86,nd,nd,,,,,14,3,,Legno 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Riviera Ligure Di Ponente Vermentino Costa De Vigne,,,Massimo Alessandri,Liguria,,20,Vermentino 100%,Branzino al sale su letto di patate,,,86,nd,nd,,,,,14,3,,Legno 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Colli Di Luni Vermentino Superiore Vigna Del Prefetto,,,Arrigoni,Liguria,,25,Vermentino 100%,Zuppa di pesce,,,89,nd,nd,,,,,,2,,Acciaio 4 mesi,,,"Giallo paglierino vivido. Sentori di erbe aromatiche e fiori di sambuco si intrecciano con cenni di scorza d’agrume, pesca bianca e un richiamo pietroso. L’assaggio è pieno, sapido, compiacente, con una lunga scia rinfrescante e una decisa chiusura di asciuttezza salina.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Colli Di Luni Vermentino Superiore Cascina Dei Peri,,,Arrigoni,Liguria,,25,Vermentino 100%,Triglie in guazzetto,,,86,nd,nd,,,,,,2,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Blanche,,,Arrigoni,Liguria,,25,Vermentino 100%,Cappesante gratinate,,,86,nd,nd,,,,,,2,,Acciaio 4 mesi,,,,Italy,,,
