Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2020,,Santa Paolina 17,,,Accattoli,Marche,,22,Montepulciano 80% – Cabernet sauvignon 20%,Tagliata al pepe verde,,,89,nd,nd,,,,,13,1,,Acciaio 12 mesi,,,"Rosso rubino fitto con riflessi granato. Olfatto piacevolmente complesso, su ricordi di geranio, rosa rossa, alloro, chiodi di garofano, visciola, amarena e ribes. Il sorso ampio e bilanciato evidenzia un tannino in evoluzione e un’apprezzabile morbidezza. Lungo epilogo fruttato.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Rosso Del Monte,,,Accattoli,Marche,,22,Montepulciano 50% – Merlot 30% – Cabernet sauvignon 20%,Carré di maiale con patate al forno,,,89,nd,nd,,,,,13,1,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Amphorae,,,Accattoli,Marche,,22,Cabernet sauvignon 50% – Petit verdot 50%,Straccetti di vitello al rosmarino,,,86,nd,nd,,,,,13,1,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Rosso Piceno Il Poggio Infinito,,,Accattoli,Marche,,22,Montepulciano 50% – Sangiovese 50%,Tartare di manzo,,,82,nd,nd,,,,,13,1,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Miracolo,,,Accattoli,Marche,,22,Maceratino 100%,Insalata di mare,,,82,nd,nd,,,,,13,1,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Colli Maceratesi Ribona,,,Accattoli,Marche,,22,Maceratino 100%,Spiedo di seppioline ai ferri,,,82,nd,nd,,,,,13,1,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Isra,,,Maria Letizia Allevi,Marche,,90,Alicante 100%,Capriolo con salsa di ribes rosso,,,91,nd,nd,,,,,14,0,,Legno 24 mesi,,,"Rubino luminoso. Corteo olfattivo sontuoso, articolato tra resina, radici amare, spezie dolci penetranti. Etereo di iodio e goudron, poi tabacco biondo e tutto il floreale e la frutta rossa percepibili. In bocca è carnoso, dominio di morbidezza, calore alcolico e tannino vellutato. Equilibrio e armonia totali.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Offida Rosso Mida,,,Maria Letizia Allevi,Marche,,90,Montepulciano 100%,Involtini di vitello lardellati,,,89,nd,nd,,,,,14,0,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Offida Pecorino Mida,,,Maria Letizia Allevi,Marche,,90,Pecorino 100%,Tortelli di zucca e salvia,,,86,nd,nd,,,,,14,0,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2016,,Arsi,,,Maria Letizia Allevi,Marche,,90,,,,,91,nd,nd,,,,,14,0,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2016,,Offida Rosso Mida,,,Maria Letizia Allevi,Marche,,90,,,,,89,nd,nd,,,,,14,0,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Rosso Conero Primo Di Tre,,,Angeli di Varano,Marche,,13,Montepulciano 100%,Pluma di maialino Bellota con cipolle caramellate,,,89,nd,nd,,,,,12,9,,Acciaio 12 mesi,,,"Rosso rubino luminoso. Profumi di amarena, more e rosa con tratti di cannella. In bocca è intenso e avvolgente, con una tannicità energica ma gradevole e una decisa freschezza che fanno presagire un ottimo potenziale evolutivo. Lunga persistenza costellata da aromi fruttati e di pepe nero.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Fuorilegge,,,Angeli di Varano,Marche,,13,Sauvignon 50% – Verdicchio 50%,Carpaccio di crostacei su mela verde,,,86,nd,nd,,,,,12,9,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Pinkonero,,,Angeli di Varano,Marche,,13,Montepulciano 100%,Speck dell’Alto Adige,,,82,nd,nd,,,,,12,9,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Offida Rosso Barricadiero,,,Aurora,Marche,,22,Montepulciano 100%,Filetto al vino rosso e scalogno,,,89,nd,nd,,,,,14,2,,Legno 24 mesi,,,"Impenetrabile cremisi, molto compatto. Si annuncia con tostature di cacao, poi subentrano confetture di prugne e more, liquirizia e vaniglia, buccia di pomodoro e arancia sanguinella. Sorso materico, caldo, tannico, eppure fresco e sapido. Amabile l’indugiare sulla spezia.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Rosso Piceno Superiore,,,Aurora,Marche,,22,Montepulciano 70% – Sangiovese 30%,Fesa di vitello al latte,,,86,nd,nd,,,,,14,2,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Fiobbo,,,Aurora,Marche,,22,Pecorino 100%,e Legno 11 mesi Bucatini all'amatriciana,,,86,nd,nd,,,,,14,2,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Falerio,,,Aurora,Marche,,22,Trebbiano 50% – Passerina 30% – Pecorino 20%,Linguine alla granseola e rosmarino,,,86,nd,nd,,,,,14,2,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Rosso Piceno,,,Aurora,Marche,,22,Montepulciano 50% – Sangiovese 40% –,Gnocchi al ragù,,,86,nd,nd,,,,,14,2,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Rosato,,,Aurora,Marche,,22,Ciliegiolo 60% – Montepulciano 40%,Tagliere di salumi,,,82,nd,nd,,,,,14,2,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Verdicchio Di Matelica Noi 150 Riserva,,,Belisario,Marche,,25,Verdicchio 100%,Pesce spada gratinato,,,91,nd,nd,,,,,13,6,,Legno 24 mesi,,,"Oro luminoso. Miele, nespola e camomilla sono i protagonisti, seguiti da cenni di vaniglia e tracce salmastre. All’assaggio ha un’ottima struttura, con una squisita e maestosa alcolicità ben bilanciata dalla verve acida. Lunga e coinvolgente la chiosa costellata da aromi di mandorla tostata.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Verdicchio Di Matelica Cambrugiano Riserva,,,Belisario,Marche,,25,Verdicchio 100%,Acciaio 5 mesi Risotto alla granseola,,,89,nd,nd,,,,,13,6,,Legno 24 mesi,,,"e Legno 12 mesi Ricciola al forno con capperi e pomodori ciliegino. VERDICCHIO DI MATELICA VIGNETI B. 2021 Bianco Doc Verdicchio 100% Alc. 13,5% | € 12 | Bt. 50.000 | Ferm. Acciaio | Mat.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Colli Maceratesi Ribona Mareggiata Di Ribona,,,Belisario,Marche,,25,Maceratino 100%,Seppie ripiene su crema di ceci,,,86,nd,nd,,,,,13,6,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Verdicchio Di Matelica Del Cerro,,,Belisario,Marche,,25,Verdicchio 100%,"Pasta, patate e cozze",,,86,nd,nd,,,,,13,6,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Verdicchio Di Matelica Valbona,,,Belisario,Marche,,25,Verdicchio 100%,Ravioli di patate e baccalà,,,82,nd,nd,,,,,13,6,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Colli Maceratesi Ribona,,,Boccadigabbia,Marche,,10,Maceratino 100%,Lasagnette con ragù di coniglio e crema di piselli,,,91,nd,nd,,,,,13,7,,Acciaio 4 mesi,,,"Brillante giallo sfumato di verde. Allude alle erbe aromatiche, racconta di fiori bianchi di sambuco e gelsomino, frutti tropicali e agrumi, poi toni di mandorla amara e minerali. Fresco, di buona sapidità e perfetto equilibrio. La lunga chiusura richiama gradevoli linee di armellina.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Cabernet Sauvignon Akronte,,,Boccadigabbia,Marche,,10,Cabernet sauvignon 100%,Legno 16 mesi Cinghiale in umido,,,89,nd,nd,,,,,13,7,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Merlot Pix,,,Boccadigabbia,Marche,,10,Merlot 100%,Legno 16 mesi Filetto di vitello alla Rossini,,,89,nd,nd,,,,,13,7,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Rosso Piceno,,,Boccadigabbia,Marche,,10,Montepulciano 60% – Sangiovese 40%,e Legno 10 mesi Tagliatelle al ragù,,,89,nd,nd,,,,,13,7,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Pinot Nero Rosèo,,,Boccadigabbia,Marche,,10,Pinot nero 100%,Pizza con bufala e pomodorini,,,86,nd,nd,,,,,13,7,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Verdicchio Dei Castelli Di Jesi Classico Superiore Oinochoe,,,Boccafosca,Marche,,11,Verdicchio 100%,Linguine allo scoglio,,,86,nd,nd,,,,,13,20,,Acciaio 12 mesi,,,"Giallo sole di buona compattezza. Ouverture erbacea con cenni odorosi di timo e limone. In successione compaiono pomacee, frutti tropicali, melone, anice e finocchietto. Il sorso è fresco, sapido e bilanciato. Sfocia in una buona persistenza ammandorlata.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Lacrima Di Morro D’Alba Superiore Superbo,,,Boccafosca,Marche,,11,Lacrima 100%,Gnocchi al ragù,,,86,nd,nd,,,,,13,20,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Rosso Piceno Rubus,,,Boccafosca,Marche,,11,Montepulciano 70% – Sangiovese 30%,Risotto con le quaglie,,,86,nd,nd,,,,,13,20,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Verdicchio Dei Castelli Di Jesi Classico Stellaria,,,Boccafosca,Marche,,11,Verdicchio 100%,Insalata di mare,,,82,nd,nd,,,,,13,20,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Lacrima Di Morro D’Alba Nerium,,,Boccafosca,Marche,,11,Lacrima 100%,Salame felino,,,82,nd,nd,,,,,13,20,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Verdicchio Di Matelica Vertis,,,Borgo Paglianetto,Marche,,19,Verdicchio 100%,Branzino al sale su letto di patate,,,86,nd,nd,,,,,13,20,,Acciaio 8 mesi,,,"Paglierino dai riflessi verdolini. Al naso spicca subito la mandorla verde, poi mimosa, tiglio, anice e un rimando di asparago. Equilibrio in bocca tra il calore alcolico e la freschezza con chiusura speziata di pepe bianco.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Verdicchio Di Matelica Petrara,,,Borgo Paglianetto,Marche,,19,Verdicchio 100%,Risotto agli scampi,,,86,nd,nd,,,,,13,20,,Acciaio 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Verdicchio Di Matelica Jera Riserva,,,Borgo Paglianetto,Marche,,19,Verdicchio 100%,Ricciola al forno con capperi e pomodori ciliegino,,,86,nd,nd,,,,,13,20,,Acciaio 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Verdicchio Di Matelica Terravignata,,,Borgo Paglianetto,Marche,,19,Verdicchio 100%,Cartoccio di pescatrice agli agrumi,,,86,nd,nd,,,,,13,20,,Acciaio 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2012,,Verdicchio Di Matelica Jera Riserva,,,Borgo Paglianetto,Marche,,19,,,,,91,nd,nd,,,,,13,20,,Acciaio 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Verdicchio Di Matelica Vertis,,,Borgo Paglianetto,Marche,,19,,,,,89,nd,nd,,,,,13,20,,Acciaio 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Verdicchio Dei Castelli Di Jesi Suprino,,,Broccanera,Marche,,14,Verdicchio 100%,Filetti di scorfano con carciofi,,,89,nd,nd,,,,,13,6,,Acciaio 6 mesi,,,"Giallo limone con filigrana oro. Sentori di mughetto, camomilla, mandorla tostata, vaniglia, zafferano, ananas e banana. In bocca si schiude in tutta la sua morbidezza, segue un amabile intreccio tra freschezza e sapidità. Vino di corpo, si congeda lento su aromi di mandorla.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Asco,,,Broccanera,Marche,,14,Merlot 50% – Syrah 50%,Brasato di manzo al vino rosso,,,89,nd,nd,,,,,13,6,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2016,,Verdicchio Dei Castelli Di Jesi Spumante Dosaggio Zero,,,Broccanera,Marche,,14,Verdicchio 100%,60 mesi sui lieviti Risotto alla parmigiana,,,86,nd,nd,,,,,13,6,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Scosso,,,Broccanera,Marche,,14,Verdicchio 100%,Verdure pastellate,,,82,nd,nd,,,,,13,6,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Cana,,,Broccanera,Marche,,14,Verdicchio 100%,Torta salata alle zucchine e origano,,,82,nd,nd,,,,,13,6,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Castelli Di Jesi Verdicchio Classico San Nicolò Riserva,,,Brunori,Marche,,14,Verdicchio 100%,Coda di rospo gratinata,,,89,nd,nd,,,,,14,1,,Cemento 12 mesi,,,"Giallo paglierino fitto fitto e impreziosito da screziature dorate. Albicocca candita, salvia e rosmarino con macchia mediterranea e mirto accompagnano al gusto, che si rivela caldo, glicerico ma bilanciato dalla presenza di una giusta componente fresco-sapida. Di buona struttura. Finale di albicocca.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Verdicchio Dei Castelli Di Jesi Classico Superiore San Nicolò,,,Brunori,Marche,,14,Verdicchio 100%,Spaghetti con vongole e bottarga,,,86,nd,nd,,,,,14,1,,Cemento 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Lacrima Di Morro D’Alba Alborada,,,Brunori,Marche,,14,Lacrima 100%,Carré di maiale al forno con mele renette,,,86,nd,nd,,,,,14,1,,Cemento 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Verdicchio Dei Castelli Di Jesi Classico Le Gemme,,,Brunori,Marche,,14,Verdicchio 100%,Filetti di pesce persico al burro e timo,,,86,nd,nd,,,,,14,1,,Cemento 12 mesi,,,,Italy,,,
