Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2020,,La Nuvola Di Piè,,,Agricolavinica,Molise,,23,Moscato bianco 70% – Riesling renano 30%,Blu di pecora,,,86,nd,nd,,,,,14,1,,Acciaio 10 mesi,,,"Ambra sfavillante. Ampio bouquet giocato su note di curcuma, albicocca disidratata, timo e erbe aromatiche. Chiusura balsamica che ricorda la liquirizia. Il sorso è ricco, materico, con quota zuccherina ben bilanciata dall’apporto salino e acido. Il lungo finale si congeda con ricordi di frutta disidratata.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Tintilia Del Molise Lame Del Sorbo,,,Agricolavinica,Molise,,23,Tintilia 100%,Maialino in agrodolce,,,86,nd,nd,,,,,14,1,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Riesling Lame Del Sorbo,,,Agricolavinica,Molise,,23,Riesling 100%,Plateau royal di crudité,,,82,nd,nd,,,,,14,1,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2015,,Biferno Rosso Gironia Riserva,,,Borgo di Colloredo,Molise,,21,Montepulciano 80% – Aglianico 20%,Filetto di cervo ai mirtilli,,,91,nd,nd,,,,,13,20,,Legno 24 mesi,,,"Fitto rosso rubino; si innalzano al naso variegati profumi di gelso nero, cannella e note di radici, rabarbaro e china. Succoso e denso il sorso, calibra perfettamente ricchezza estrattiva e freschezza, con un tannino modellato che accompagna l’elegante e interminabile beva. Chiude su note di spezie e frutta scura.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Biferno Bianco Gironia,,,Borgo di Colloredo,Molise,,21,Trebbiano 70% – Garganega 20% – Malvasia bianca 10%,Legno 4 mesi Spiedo di seppioline ai ferri,,,86,nd,nd,,,,,13,20,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Molise Falanghina Campo Di Mare,,,Borgo di Colloredo,Molise,,21,Falanghina 100%,Sformato di patate e prosciutto cotto,,,86,nd,nd,,,,,13,20,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Biferno Rosato Gironia,,,Borgo di Colloredo,Molise,,21,Montepulciano 85% – Aglianico 15%,Insalata di pollo e verdure,,,82,nd,nd,,,,,13,20,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Molise Rosso Campo In Mare,,,Borgo di Colloredo,Molise,,21,Montepulciano 100%,Tagliata al pepe verde,,,82,nd,nd,,,,,13,20,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Tintilia Del Molise,,,Borgo di Colloredo,Molise,,21,Tintilia 100%,Legno 6 mesi Brasato di manzo al vino rosso,,,82,nd,nd,,,,,13,20,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2014,,Pentro,,,Campi Valerio,Molise,,150,Montepulciano 75% – Tintilia 25%,Piccione ai porcini e tartufo nero,,,91,nd,nd,,,,,14,1,,Legno 24 mesi,,,"Rosso rubino vivace. Generoso l’olfatto: si destreggia tra note di mora di rovo e gelso nero, contornati da spezie scure, bacche di ginepro, pepe nero e accenni di china e rabarbaro. La beva è potente, ritmata da tannino levigato e freschezza appagante. Riemergono spezie di grande stoffa nel lungo e salino finale.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Tintilia Del Molise La Lana,,,Campi Valerio,Molise,,150,Tintilia 100%,Manzo brasato con funghi,,,86,nd,nd,,,,,14,1,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Tintilia Del Molise Opalia,,,Campi Valerio,Molise,,150,Tintilia 100%,Bocconcini di cinghiale con salsa di prugne,,,86,nd,nd,,,,,14,1,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Rosso Del Molise Calidio,,,Campi Valerio,Molise,,150,Montepulciano 100%,Agnello al forno con rosmarino,,,82,nd,nd,,,,,14,1,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Rosso Del Molise Sannazzaro,,,Campi Valerio,Molise,,150,Montepulciano 100%,Filetto di maiale lardellato,,,82,nd,nd,,,,,14,1,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Falanghina Del Molise Fannia,,,Campi Valerio,Molise,,150,Falanghina 100%,Carpaccio di crostacei su mela verde,,,82,nd,nd,,,,,14,1,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Tintilia Del Molise Colle Cervino,,,Cantine Catabbo,Molise,,18,Tintilia 100%,Spezzatino di manzo,,,86,nd,nd,,,,,13,15,,Acciaio 12 mesi,,,"Colore rosso rubino di media intensità. L’olfatto offre ottima florealità, accenni di frutta matura e intense note di spezie scure. In bocca è lineare, fresco e reattivo. Dalla beva schietta e mai invadente, chiude con un finale di bella complessità pepata.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Falanghina Del Molise Colle Del Limone,,,Cantine Catabbo,Molise,,18,Falanghina 100%,Risotto alle ortiche,,,86,nd,nd,,,,,13,15,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Tintilia Del Molise In Anfora,,,Cantine Catabbo,Molise,,18,Tintilia 100%,Gulasch di manzo alla paprica dolce,,,86,nd,nd,,,,,13,15,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Tintilia Del Molise S,,,Cantine Catabbo,Molise,,18,Tintilia 100%,Entrecôte alla griglia con scaglie di formaggio,,,86,nd,nd,,,,,13,15,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Falanghina Del Molise In Anfora,,,Cantine Catabbo,Molise,,18,Falanghina 100%,Risotto ai finferli,,,82,nd,nd,,,,,13,15,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Tintilia Del Molise Rosato Rosator,,,Cianfagna,Molise,,20,Tintilia 100%,Terrina di coniglio,,,86,nd,nd,,,,,14,1,,Acciaio 6 mesi,,,Elegante rosa cerasuolo vivido. Le offerte odorose spaziano con finezza da un fruttato di amarena e ciliegia in gelatina note iodate. Al palato c’è tensione e ottima sapidità controbilanciare l’apporto estrattivo e alcolico. Chiude lungo su ricordi di frutti rossi.,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Tintilia Del Molise Sator,,,Cianfagna,Molise,,20,Tintilia 100%,Filetto al pepe verde,,,86,nd,nd,,,,,14,1,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2013,,Aglianico Del Molise Militum Christi Riserva,,,Cianfagna,Molise,,20,Aglianico 100%,Cinghiale arrosto con castagne,,,82,nd,nd,,,,,14,1,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Malvasia Del Molise Templo,,,Cianfagna,Molise,,20,Malvasia 85% – Trebbiano 15%,Vellutata di ceci con gamberi croccanti,,,82,nd,nd,,,,,14,1,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Falanghina Settevigne,,,Claudio Cipressi,Molise,,18,Falanghina 100%,"Insalata di polpo, patate e olive",,,86,nd,nd,,,,,14,7,,Acciaio 6 mesi,,,"Giallo paglierino lucente. Olfatto intriso di bergamotto, timo e ricordi di ginestra. Al gusto ha mordente freschezza agrumata, contornata da sensazioni di anice ed erbe aromatiche, che contribuiscono rendere snella la beva. Ottimo allungo fruttato.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2016,,Tintilia Del Molise Settevigne,,,Claudio Cipressi,Molise,,18,Tintilia 100%,Guanciale di vitello alle erbe aromatiche,,,86,nd,nd,,,,,14,7,,Acciaio 6 mesi,,,,Italy,,,
