Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2021,,Dogliani Sorì Dij But,,,Anna Maria Abbona,Piemonte,,12,Dolcetto 100%,Fettuccine ai finferli,,,91,nd,nd,,,,,15,30,,Acciaio 10 mesi,,,"Profondo porpora e lampi rubino. Profumi esuberanti, distesi e solari, golosi i rimandi lampone, mora di gelso, amarena. Franco il sorso, d’immediato piacere, tannino misurato e rinfrescante. Struttura snella ed equilibrio pienamente soddisfacente. Per una beva immediata, generosa: Dolcetto nell’anima.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Dogliani Superiore San Bernardo,,,Anna Maria Abbona,Piemonte,,12,Dolcetto 100%,Spezzatino di manzo,,,89,nd,nd,,,,,15,30,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Barolo Bricco San Pietro,,,Anna Maria Abbona,Piemonte,,12,Nebbiolo 100%,Guanciale di manzo in umido con polenta,,,86,nd,nd,,,,,15,30,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Langhe Barbera Cadò,,,Anna Maria Abbona,Piemonte,,12,Barbera 90% – Dolcetto 10%,Legno 18 mesi Involtini di vitello lardellati,,,86,nd,nd,,,,,15,30,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Langhe Riesling L’Alman,,,Anna Maria Abbona,Piemonte,,12,Riesling renano 100%,Crostini con baccalà mantecato,,,86,nd,nd,,,,,15,30,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Langhe Pinot Nero,,,Anna Maria Abbona,Piemonte,,12,Pinot nero 100%,Sella di coniglio al tartufo con timballo di patate,,,86,nd,nd,,,,,15,30,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2015,,Barolo Pressenda Riserva,,,Marziano Abbona,Piemonte,,65,Nebbiolo 100%,Piccione ai porcini e tartufo nero,,,91,nd,nd,,,,,15,3,,Legno 42 mesi,,,"Granato classico. Deliziosi indizi d’evoluzione: piccoli frutti in infusione, viola secca e agrume, un sottobosco punteggiato da allusioni vegetali ed erbe officinali. Gran bel sorso, in cui il tannino, la pienezza fruttata, un’intrigante sapidità conducono un finale gustoso, classico e appagante.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Dogliani Papà Celso,,,Marziano Abbona,Piemonte,,65,Dolcetto 100%,Lasagne ai cardi con formaggi saporiti,,,89,nd,nd,,,,,15,3,,Legno 42 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Barolo,,,Marziano Abbona,Piemonte,,65,Nebbiolo 100%,Faraona al forno,,,86,nd,nd,,,,,15,3,,Legno 42 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Langhe Bianco Cinerino,,,Marziano Abbona,Piemonte,,65,Viognier 100%,Gamberoni al curry,,,86,nd,nd,,,,,15,3,,Legno 42 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Barbera D’Alba Rinaldi,,,Marziano Abbona,Piemonte,,65,Barbera 100%,Tacchino stufato con peperoni e radicchio,,,86,nd,nd,,,,,15,3,,Legno 42 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Nebbiolo D’Alba Bricco Barone,,,Marziano Abbona,Piemonte,,65,Nebbiolo 100%,Costolette d’agnello in panatura aromatica,,,82,nd,nd,,,,,15,3,,Legno 42 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Barbaresco Rongalio Riserva,,,Orlando Abrigo,Piemonte,,50,Nebbiolo 100%,Civet di capriolo ai funghi,,,91,nd,nd,,,,,14,6,,Legno 20 mesi,,,"Granato compatto. Naso vigoroso e screziato: sottobosco, lampone e mora maturi, brividi balsamici, antichi legni, spezie scure, cenni di tabacco e radice. Potente e carnosa la massa gustativa, vigorosa l’estrazione tannica, persistenza da ricordare. Non può lasciare indifferenti né ora né nei molti anni venire.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Barbaresco Cn_111,,,Orlando Abrigo,Piemonte,,50,Nebbiolo 100%,Costata di manzetta con salsa allo zenzero,,,89,nd,nd,,,,,14,6,,Legno 20 mesi,,,,Italy,,,
