Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2021,,Romagna Albana Secco Poderi Delle Rose,,,Agrintesa Società Cooperativa Agricola,Romagna,,6,Albana 100%,Lasagne alle melanzane,,,89,nd,nd,,,,,13,4,,Acciaio 6 mesi,,,"Striature dorate illuminano il bel paglierino. Superbo al naso: nitori di ginestra e camomilla si uniscono pesca gialla ed erbe aromatiche. Sorso equilibrato, di buona struttura con il frutto ben espresso e sostenuto da un’amabile freschezza. Finale lungo e fruttato.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Chardonnay Poderi Delle Rose,,,Agrintesa Società Cooperativa Agricola,Romagna,,6,Chardonnay 100%,"Riso, cozze e zafferano",,,86,nd,nd,,,,,13,4,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Romagna Sangiovese Superiore Poderi Delle Rose,,,Agrintesa Società Cooperativa Agricola,Romagna,,6,Sangiovese 100%,Straccetti di vitello al rosmarino,,,86,nd,nd,,,,,13,4,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Romagna Sangiovese Poderi Delle Rose,,,Agrintesa Società Cooperativa Agricola,Romagna,,6,Sangiovese 100%,Filetto di branzino gratinato,,,86,nd,nd,,,,,13,4,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Centesimino Savignôn Rosso,,,Ancarani,Romagna,,14,Centesimino 100%,Lasagnette al ragù di faraona e asparagi,,,91,nd,nd,,,,,14,6,,Cemento 8 mesi,,,"Rosso rubino luminoso. Bouquet olfattivo di classe, che sposa tratti floreali di rosa e piccoli frutti bacca scura, in una cornice speziata e balsamica. Il palato è dinamico e accogliente, di chiara matrice gustativa, ben armonizzata da acidità e tannini integrati. Invitante l’allungo fruttato.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Perlagioia,,,Ancarani,Romagna,,14,Albana 100%,6 mesi Lasagne di verdure,,,89,nd,nd,,,,,14,6,,Cemento 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Romagna Sangiovese Superiore Biagio Antico,,,Ancarani,Romagna,,14,Sangiovese 100%,12 mesi Guanciale di vitello in umido con patate,,,89,nd,nd,,,,,14,6,,Cemento 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Le Signore,,,Ancarani,Romagna,,14,Famoso 100%,6 mesi Fiori di zucca ripieni di ricotta e acciughe,,,86,nd,nd,,,,,14,6,,Cemento 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Romagna Sangiovese Modigliana Redinoce Riserva,,,Balìa di Zola,Romagna,,17,Sangiovese 100%,Manzo brasato con funghi,,,86,nd,nd,,,,,13,5,,Legno 24 mesi,,,"Splendido rosso rubino dai toni vivaci. Quadro odoroso ben definito, frutta rossa, ciliegia e mora poi un susseguirsi di fiori appena sbocciati, rose rosse e violette. Assaggio brioso, con sapori fruttati incalzati dai tannini esuberanti e da una gradevole freschezza. Si congeda su cenni balsamici.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Romagna Albana Secco Isola,,,Balìa di Zola,Romagna,,17,Albana 100%,Tortelli di zucca e salvia,,,86,nd,nd,,,,,13,5,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Romagna Sangiovese Superiore Balitore,,,Balìa di Zola,Romagna,,17,Sangiovese 100%,Pappardelle con sugo di lepre,,,82,nd,nd,,,,,13,5,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Zòla,,,Balìa di Zola,Romagna,,17,Sangiovese 100%,Squacquerone di Romagna,,,77,nd,nd,,,,,13,5,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Romagna Albana Secco Leggiadro,,,Riccardo Ballardini,Romagna,,11,Albana 100%,Baccalà mantecato,,,86,nd,nd,,,,,14,2,,Acciaio 6 mesi,,,"Luce dorata. Pronunciato corredo olfattivo nel quale emergono fiori di camomilla e acacia, pesca e melone maturi, miele e cera d’api. Il sorso è pieno, caldo, rotondo e strutturato. Ben equilibrato l’apporto di freschezza e sapidità, che stilizzano con efficacia i caratteri tipici dell’albana.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Pignoletto,,,Riccardo Ballardini,Romagna,,11,Grechetto gentile 100%,Scampi alla griglia,,,86,nd,nd,,,,,14,2,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Colli Di Faenza Sangiovese Pideura,,,Riccardo Ballardini,Romagna,,11,Sangiovese 100%,12 mesi e Legno 12 mesi Coniglio in umido alle erbe aromatiche,,,86,nd,nd,,,,,14,2,,Acciaio 6 mesi,,,,Italy,,,
