Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2019,,Barrua,,,Agripunica,Sardegna,,35,Carignano 85% – Cabernet sauvignon 10% – Merlot 5%,Controfiletto di bue alla brace,,,91,nd,nd,,,,,,120,,Acciaio 3 mesi e,,,"Legno 18 mesi Rubino profondo. Profilo olfattivo declinato su confettura di marasca, chiodo di garofano, macis e preziosi accenni di cacao e legno di mirto. Sorso di notevole impatto, con tannini piacevolmente corroboranti che rimarcano un pregevole equilibrio e una beva intrigante; elegante e lunga persistenza su note di boero.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Montessu,,,Agripunica,Sardegna,,35,Carignano 60% – Cabernet franc 10% –,Legno 12 mesi Salame felino,,,89,nd,nd,,,,,,120,,Acciaio 3 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Samas,,,Agripunica,Sardegna,,35,Vermentino 80% – Chardonnay 20%,Cemento 3 mesi Risotto agli asparagi con gamberi croccanti,,,86,nd,nd,,,,,,120,,Acciaio 3 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Turriga,,,Argiolas,Sardegna,,70,Cannonau 85% – Bovale 5% – Carignano 5% – Malvasia nera 5%,Medaglioni di cervo con riduzione di cottura,,,91,nd,nd,,,,,,40,,Legno 18 mesi,,,"Rubino denso. Apre con cassis, amarena e tabacco, impreziositi da torrefazione e note balsamiche. Bocca materica e vellutata, sollecitata da scosse fresche e sapide; i tannini setosi accompagnano il lungo finale.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Cannonau Di Sardegna Senes Riserva,,,Argiolas,Sardegna,,70,Cannonau 85% – Carignano 10% – Bovale 5%,Stracotto d’asino,,,91,nd,nd,,,,,,40,,Legno 18 mesi,,,"Cemento 12 mesi Rubino pieno. Note di prugna e viola, accompagnate da sentori balsamici e di cannella. Palato avvolgente, grazie ai carezzevoli e setosi tannini e alla corroborante sapidità, che marca il lungo finale.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Angialis,,,Argiolas,Sardegna,,70,Nasco 100%,Seadas,,,91,nd,nd,,,,,,40,,Legno 18 mesi,,,"e Legno 12 mesi Veste dorata. Ricordi di albicocca disidratata con note agrumate e cenni di zagara. Gusto dolce e avvolgente, trova valida sponda nella vena fresco-sapida, che regala equilibrio e una raffinata chiusura.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Korem,,,Argiolas,Sardegna,,70,Bovale 85% – Carignano 10% – Cannonau 5%,Filetto al vino rosso e scalogno,,,89,nd,nd,,,,,,40,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Vermentino Di Sardegna Cerdeña,,,Argiolas,Sardegna,,70,Vermentino 100%,Pappardelle con coda di rospo e carciofi,,,89,nd,nd,,,,,,40,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Carignano Del Sulcis Is Solinas Riserva,,,Argiolas,Sardegna,,70,Carignano 100%,Guancia di vitello in umido,,,89,nd,nd,,,,,,40,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Vermentino Di Gallura Superiore Clos,,,Atlantis,Sardegna,,30,Vermentino 100%,Spiedo di seppioline ai ferri,,,89,nd,nd,,,,,14,6,,Acciaio 11 mesi,,,"Luminoso paglierino. Pompelmo e clementine s’intrecciano fiori di tiglio, mandorle e zagare. Assaggio lineare e corpo sostenuto da un perfetto bilanciamento tra ricchezza glicerica e freschezza; la scia sapida che incede appaga al gusto e valorizza il raffinato finale tropicale.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Vermentino Di Gallura Superiore Crizia,,,Atlantis,Sardegna,,30,Vermentino 100%,Risotto con gamberi di fiume e piselli,,,86,nd,nd,,,,,14,6,,Acciaio 11 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Maju,,,Atlantis,Sardegna,,30,Merlot 50% – Cabernet sauvignon 25% – Syrah 25%,Tagliere di salumi,,,86,nd,nd,,,,,14,6,,Acciaio 11 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Atlantis Rosè,,,Atlantis,Sardegna,,30,Cannonau 50% – Pascale 50%,Scampi alla griglia,,,82,nd,nd,,,,,14,6,,Acciaio 11 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Cagliari Malvasia Estissa,,,Audarya,Sardegna,,20,Malvasia 100%,Pennette con pesto alla trapanese,,,91,nd,nd,,,,,14,3,,Cemento 10 mesi,,,"Paglierino carico con riflessi dorati. Definiti profumi di rosa, mela golden, fieno sfalciato e rosmarino, con note agrumate e di zucchero velo. Assaggio morbido e potente che trova ritmo e dinamicità grazie rinfrescanti sussulti fresco-sapidi. Nel lungo finale si intrecciano echi fruttati e salmastri.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Nuracada,,,Audarya,Sardegna,,20,Bovale 100%,Parmigiano Reggiano Riserva,,,89,nd,nd,,,,,14,3,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Bisai,,,Audarya,Sardegna,,20,Nasco 100%,Blu di capra,,,86,nd,nd,,,,,14,3,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Nuragus Di Cagliari,,,Audarya,Sardegna,,20,Nuragus 100%,Crostini con burro e alici,,,86,nd,nd,,,,,14,3,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Vermentino Di Sardegna Camminera,,,Audarya,Sardegna,,20,Vermentino 100%,Orata all'acqua pazza,,,82,nd,nd,,,,,14,3,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Vermentino Di Sardegna,,,Audarya,Sardegna,,20,Vermentino 100%,Stracciatella di bufala,,,82,nd,nd,,,,,14,3,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Bisai,,,Audarya,Sardegna,,20,,,,,89,nd,nd,,,,,14,3,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Nasco Di Cagliari Bessìu,,,Audarya,Sardegna,,20,,,,,89,nd,nd,,,,,14,3,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Be Luna,,,Bentu Luna,Sardegna,,120,Bovale 35% – Cannonau 30% – Monica 30% – altre varietà 5%,Petto d’anatra alle prugne,,,91,nd,nd,,,,,15,1,,Legno 10 mesi e Cemento 10 mesi,,,"Mat. Legno 10 mesi e Cemento 10 mesi Granato fitto. Bagaglio olfattivo ricco e intenso, con riconoscimenti di frutti rossi macerati, ciliegia griotte, accenni floreali di rosa, elegante speziatura e, in chiusura, corteccia di china. Sorso dinamico, caldo, con trama tannica di nobile fattura e ben integrata. Finale terso con rimandi chinati.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Susu,,,Bentu Luna,Sardegna,,120,Cannonau 100%,Legno 10 mesi e Cemento 10 mesi Manzo brasato con funghi,,,89,nd,nd,,,,,15,1,,Legno 10 mesi e Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Sobi,,,Bentu Luna,Sardegna,,120,Bovale 35% – Cannonau 30% – Monica 30% – altre varietà 5%,Cemento 10 mesi Guanciale di manzo in umido con polenta,,,86,nd,nd,,,,,15,1,,Legno 10 mesi e Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,V,,,Bentu Luna,Sardegna,,120,Vernaccia di Oristano 100%,Cemento 6 mesi Stoccafisso in umido con porcini,,,86,nd,nd,,,,,15,1,,Legno 10 mesi e Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Mandrolisai Mari,,,Bentu Luna,Sardegna,,120,Bovale 35% – Cannonau 30% – Monica 30% – altre varietà 5%,Costolette d’agnello in panatura aromatica,,,86,nd,nd,,,,,15,1,,Legno 10 mesi e Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Cannonau Di Sardegna Classico Monte Tundu,,,Berritta,Sardegna,,23,Cannonau 100%,Costata di manzetta con salsa allo zenzero,,,89,nd,nd,,,,,16,2,,Acciaio 8 mesi e Legno 12 mesi,,,"Mat. Acciaio 8 mesi e Legno 12 mesi Granato dai toni profondi. Bouquet intenso ed etereo, ingentilito da cenni di tabacco scuro, more in confettura, ciliegie sotto spirito e soffi di pepe nero. Ingresso gustativo morbido e fruttato; sorso ritmato da ricca sapidità e da tannini sontuosi e ben presenti, che segnano un finale asciutto e molto persistente.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Cannonau Di Sardegna Baillanu,,,Berritta,Sardegna,,23,Cannonau 100%,Ravioli di magro con funghi chiodini,,,86,nd,nd,,,,,16,2,,Acciaio 8 mesi e Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Cannonau Di Sardegna Nostranu,,,Berritta,Sardegna,,23,Cannonau 100%,Straccetti di cavallo,,,86,nd,nd,,,,,16,2,,Acciaio 8 mesi e Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Panzale,,,Berritta,Sardegna,,23,Panzale 100%,Costine d’agnello in crosta di noci,,,86,nd,nd,,,,,16,2,,Acciaio 8 mesi e Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Vermentino Di Sardegna Tziu Martine,,,Berritta,Sardegna,,23,Vermentino 100%,Tartare di scampi,,,82,nd,nd,,,,,16,2,,Acciaio 8 mesi e Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Cannonau Di Sardegna Rosato Marinu,,,Berritta,Sardegna,,23,Cannonau 100%,Cotoletta di tonno al sesamo,,,82,nd,nd,,,,,16,2,,Acciaio 8 mesi e Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2016,,Istranzu,,,Berritta,Sardegna,,23,,,,,91,nd,nd,,,,,16,2,,Acciaio 8 mesi e Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Cannonau Di Sardegna Thurcalesu,,,Berritta,Sardegna,,23,,,,,89,nd,nd,,,,,16,2,,Acciaio 8 mesi e Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Pinta,,,Binza ’e su Re,Sardegna,,15,Cagnulari 100%,Arista di maiale con salsa di prugne,,,89,nd,nd,,,,,14,8,,Acciaio 6 mesi,,,"Rubino vivo. Esordio olfattivo intenso e schietto, che espone in prima linea un fruttato fresco di amarena, bacca di mirto e salsa di mirtilli. Il palato ripropone coerentemente un sorso fresco e di apprezzabile equilibrio, frutto di un apporto tannico misurato e di una giusta dote alcolica.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Vermentino Di Sardegna Boese Vigna Truvaoese,,,Binza ’e su Re,Sardegna,,15,Vermentino 100%,Polpo alla Luciana,,,86,nd,nd,,,,,14,8,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Cannonau Di Sardegna Tumbaru,,,Binza ’e su Re,Sardegna,,15,Cannonau 100%,Pecorino di Pienza,,,82,nd,nd,,,,,14,8,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Dedola,,,Cantina Alba & Spanedda,Sardegna,,15,Cagnulari 100%,Bollito misto con salse,,,89,nd,nd,,,,,14,1,,Acciaio 4 mesi e,,,"Legno 6 mesi Rubino fitto con venature granato. Evoca sentori di frutti di bosco, mora e marasca, tabacco inglese e pimento; si attarda su timbri speziati e tostati. Sorso vigoroso e asciutto, sostenuto da una trama polifenolica scalpitante e ben accordata all’energia alcolica e alla dote glicerica; sostanzioso, coerente e godibile.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Taru,,,Cantina Alba & Spanedda,Sardegna,,15,Cabernet sauvignon 100%,Legno 12 mesi Lombata di vitello su letto di cipolline saltate,,,86,nd,nd,,,,,14,1,,Acciaio 4 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Rombo Di Tuono,,,Cantina Alba & Spanedda,Sardegna,,15,Cagnulari 100%,Legno 6 mesi Filetto di maiale lardellato,,,86,nd,nd,,,,,14,1,,Acciaio 4 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Cagnulari,,,Cantina Alba & Spanedda,Sardegna,,15,Cagnulari 100%,,,,86,nd,nd,,,,,14,1,,Acciaio 4 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Vermentino Di Sardegna Akèsi,,,Cantina Alba & Spanedda,Sardegna,,15,Vermentino 100%,Risotto con tinca di lago e datterini,,,86,nd,nd,,,,,14,1,,Acciaio 4 mesi e,,,,Italy,,,
