Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2019,,Sicilia Cabernet Sauvignon Litra,,,S,Sicilia,,30,Cabernet sauvignon 100%,Cemento 4 mesi 60 mesi sui lieviti Sformatino di zucca con fonduta di Asiago,,,89,nd,nd,,,,,14,6,,Legno 24 mesi,,,"Profondo e luminoso rosso rubino. Bouquet ricco di fiori rossi appassiti, confettura di ciliegia, ribes rosso e poi spezie, cuoio, tabacco, grafite e sottobosco, chiudono note eteree e mentolate. Il sorso è pieno, rotondo e caldo. Il tannino setoso e sensuale bilancia la sensazione e anima il lungo finale balsamico. Entrecôte alla griglia con scaglie di formaggio. Q.1000 BRUT 2016 Bianco Metodo Classico Pinot nero 100% Alc. 11,5% | € 22 | Bt. 6.000 | Ferm. Acciaio | Mat.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Sicilia Rosso Montenero,,,S,Sicilia,,30,Nero d’Avola 51% – Cabernet franc 49%,Ragusano,,,86,nd,nd,,,,,14,6,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Sicilia Syrah Sensinverso,,,S,Sicilia,,30,Syrah 100%,Risotto ai porcini e zucca,,,86,nd,nd,,,,,14,6,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Sicilia Sauvignon Sinestesia,,,S,Sicilia,,30,Sauvignon 100%,Vastedda della Valle del Belice,,,86,nd,nd,,,,,14,6,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Sicilia Grillo Chardonnay Ninfea,,,Alcesti,Sicilia,,13,Grillo 60% – Chardonnay 40%,Zuppetta di piselli e vongole,,,86,nd,nd,,,,,13,1,,Legno 9 mesi,,,"Splendente veste paglierina. Naso deciso, fine, espressivo: profumi di gardenia e pesca tabacchiera, aromi di menta e anice, vaniglia e pepe bianco, cenni mielati e guizzi salmastri. In bocca è volumico, ben bilanciato dalla freschezza e soprattutto dalla vena sapida che anima e allunga il congedo.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Sicilia Nero D’Avola Nesos,,,Alcesti,Sicilia,,13,Nero d’Avola 100%,Maialino in agrodolce,,,86,nd,nd,,,,,13,1,,Legno 9 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Frappato,,,Alcesti,Sicilia,,13,Frappato 100%,Pizza prosciutto e funghi,,,86,nd,nd,,,,,13,1,,Legno 9 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Sicilia Spumante Bianco Brut Katria,,,Alcesti,Sicilia,,13,Grillo 100%,Crostini con burro e alici,,,86,nd,nd,,,,,13,1,,Legno 9 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Sicilia Catarratto Medea,,,Alcesti,Sicilia,,13,Catarratto 100%,"Pasta, patate e cozze",,,86,nd,nd,,,,,13,1,,Legno 9 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Zibibbo,,,Alcesti,Sicilia,,13,Zibibbo 100%,Insalata di astice e avocado,,,82,nd,nd,,,,,13,1,,Legno 9 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Sicilia Syrah Kaid,,,Alessandro di Camporeale,Sicilia,,19,Syrah 100%,Involtini di vitello lardellati,,,86,nd,nd,,,,,14,36,,Legno 12 mesi,,,"Lucente manto rubino con riflessi porpora. Ventaglio olfattivo variegato e intrigante con amarena e ribes nero che s’intrecciano ad aromi di cannella e pepe, tabacco e liquirizia. Sorso morbido e caldo. Scorre autorevole, intriso di freschezza, con un tannino ancora vivace ma ben integrato.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Monreale Catarratto Vigna Di Mandranova,,,Alessandro di Camporeale,Sicilia,,19,Catarratto bianco lucido 100%,Legno 8 mesi Sauté di cozze,,,86,nd,nd,,,,,14,36,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Sicilia Sauvignon Kaid,,,Alessandro di Camporeale,Sicilia,,19,Sauvignon 100%,Risotto alla zucca e astice,,,86,nd,nd,,,,,14,36,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Sicilia Grillo Vigna Di Mandranova,,,Alessandro di Camporeale,Sicilia,,19,Grillo 100%,Spaghetti con mazzancolle e pomodorini,,,86,nd,nd,,,,,14,36,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Sicilia Nero D’Avola Donnatà,,,Alessandro di Camporeale,Sicilia,,19,Nero d’Avola 100%,Acciaio 8 mesi e Legno 8 mesi Salame felino,,,82,nd,nd,,,,,14,36,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Sicilia Perricone Furioso,,,Assuli,Sicilia,,24,Perricone 100%,Stinco di maiale al forno in pancetta affumicata,,,86,nd,nd,,,,,,53,,Legno 18 mesi,,,"Rubino luminoso con orlo granato. Olfatto seducente: fiori rossi e ciliegia sotto spirito, cenni di tabacco e pepe nero, incenso e nuance balsamiche. Morbidezze e dotazione alcolica duettano con freschezza e tannini vivaci in un dinamico equilibrio. Estensione dai toni fruttati.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Sicilia Nero D’Avola Lorlando Riserva,,,Assuli,Sicilia,,24,Nero d’Avola 100%,Risotto con salsiccia e Taleggio,,,86,nd,nd,,,,,,53,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Sicilia Catarratto Donna Angelica,,,Assuli,Sicilia,,24,Catarratto bianco lucido 100%,Tartare di gamberi,,,86,nd,nd,,,,,,53,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Sicilia Zibibbo Dardinello,,,Assuli,Sicilia,,24,Zibibbo 100%,Crostini con burro e salmone,,,86,nd,nd,,,,,,53,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Passito,,,Assuli,Sicilia,,24,Grillo 100%,Plum-cake con cedro e albicocche candite,,,82,nd,nd,,,,,,53,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Sicilia Perricone Fiordispina,,,Assuli,Sicilia,,24,Perricone 100%,Piacentinu Ennese,,,82,nd,nd,,,,,,53,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Sicilia Nero D’Avola Nero Saraceno,,,S,Sicilia,,22,Nero d’Avola 100%,Lepre alla cacciatora,,,86,nd,nd,,,,,14,3,,Legno 12 mesi,,,"Rosso rubino compatto e luminoso. La successione di odori comincia dalla rosa appassita e prosegue con frutta matura, prugna e mora di rovo; seguire chiodi di garofano, liquirizia, tabacco e caffè. Al palato è caldo, volumico, sorretto da tannini fitti e serici. Epilogo saporito e fruttato.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Maior,,,S,Sicilia,,22,Merlot 65% – Cabernet sauvignon 35%,Costolette d’agnello in panatura aromatica,,,86,nd,nd,,,,,14,3,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Sicilia Nero D’Avola Kammut,,,S,Sicilia,,22,Nero d’Avola 100%,Acciaio 3 mesi Sushi e sashimi,,,86,nd,nd,,,,,14,3,,Legno 12 mesi,,,Filetto al vino rosso e scalogno. PERLA BRUT Bianco Igp Metodo Martinotti Catarratto 100% Alc. 12% | € 13 | Bt. 3.800 | Ferm. Acciaio | Mat.,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Sicilia Catarratto Vb59,,,S,Sicilia,,22,Catarratto 100%,Risotto agli asparagi con gamberi croccanti,,,82,nd,nd,,,,,14,3,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Sicilia Catarratto Masì,,,S,Sicilia,,22,Catarratto 100%,it wineryname Bagliesi (1986) wineryname,,,82,nd,nd,,,,,14,3,,Legno 12 mesi,,,"Triglie in guazzetto. Via Saffi, 136 92029 Ravanusa (AG) T. 328 1783411 | M. bagliesi.vinibio@libero.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Sicilia Nero D’Avola Nero Saraceno,,,S,Sicilia,,22,,,,,86,nd,nd,,,,,14,3,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Sicilia Nero D’Avola Io,,,Baglio Bonsignore,Sicilia,,20,Nero d’Avola 100%,Costata di manzo alla griglia,,,86,nd,nd,,,,,14,15,,Acciaio 12 mesi,,,"Cremisi denso e luminoso, dai riflessi giovanili. Variegato corredo olfattivo: violetta e glicine, prugna e frutti di bosco, indizi di carruba e macchia mediterranea, cenni di grafite. Il sorso è materico e di buon equilibrio, con un tannino cesellato e una piacevole mineralità. Seducente il lungo finale.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Sicilia Nero D’Avola Syrah Cubburo,,,Baglio Bonsignore,Sicilia,,20,Nero d’Avola 70% – Syrah 30%,Arista di maiale con salsa di prugne,,,86,nd,nd,,,,,14,15,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Sicilia Grillo Oi,,,Baglio Bonsignore,Sicilia,,20,Grillo 100%,Risotto agli scampi,,,86,nd,nd,,,,,14,15,,Acciaio 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Sicilia Syrah Lusirà,,,Baglio del Cristo di Campobello,Sicilia,,27,Syrah 100%,Stinco di maiale al forno in pancetta affumicata,,,91,nd,nd,,,,,,13,,Legno 14 mesi,,,"Impenetrabile rubino con filigrana purpurea. Ouverture di ciliegia matura, poi liquirizia e menta, cannella e pepe nero, tracce di sottobosco e cioccolato. Denso e rotondo il gusto, gradevoli i richiami fruttati e speziati con tannini ancora esuberanti ad animare la lunga progressione gustativa.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Sicilia Nero D’Avola Lu Patri,,,Baglio del Cristo di Campobello,Sicilia,,27,Nero d’Avola 100%,Manzo brasato con funghi,,,89,nd,nd,,,,,,13,,Legno 14 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Sicilia Chardonnay Laudàri,,,Baglio del Cristo di Campobello,Sicilia,,27,Chardonnay 100%,Tartare di gamberi,,,89,nd,nd,,,,,,13,,Legno 14 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Sicilia Grillo Lalùci,,,Baglio del Cristo di Campobello,Sicilia,,27,Grillo 100%,Ricciola al forno con capperi e pomodori ciliegino,,,86,nd,nd,,,,,,13,,Legno 14 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Sicilia Spumante Bianco Extra Brut Cristo Di Campobello,,,Baglio del Cristo di Campobello,Sicilia,,27,Grillo 100%,36 mesi sui lieviti Battuto di gamberi rossi di Sicilia,,,86,nd,nd,,,,,,13,,Legno 14 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2016,,Sicilia Merlot Cabernet Sauvignon Viafrancia Riserva,,,Baglio di Pianetto,Sicilia,,20,Merlot 70% – Cabernet sauvignon 30%,Straccetti di cavallo,,,91,nd,nd,,,,,13,6,,Acciaio 9 mesi e,,,"Legno 24 mesi Rubino denso e luccicante con bagliori granato. Naso intenso e raffinato. Balsamico dapprima, poi si rilassa con allusioni di amarena sotto spirito e ribes rosso, violetta, sottobosco, liquirizia e cannella, tabacco. Deciso e avvolgente al palato, tannini potenti ma non invasivi, lungheggia ripensando al frutto.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Shymer,,,Baglio di Pianetto,Sicilia,,20,Merlot 50% – Syrah 50%,Pappardelle con sugo di capriolo,,,89,nd,nd,,,,,13,6,,Acciaio 9 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Sicilia Viognier Viafrancia Riserva,,,Baglio di Pianetto,Sicilia,,20,Viognier 100%,Soufflé con pecorino e crema di patate,,,89,nd,nd,,,,,13,6,,Acciaio 9 mesi e,,,,Italy,,,
