Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2016,,Trento Brut Domini Nero,,,Abate Nero,Trentino,,36,Pinot nero 100%,Risotto con mazzancolle al profumo d’rancia,,,89,nd,nd,,,,,,3,,Acciaio 6 mesi | 60,,,"mesi sui lieviti Sfoggia un paglierino cristallino dal perlage fine e incessante. Lo slancio iniziale di gelsomino, tarassaco e fiori d’arancio è accompagnato da sentori di mela cotogna, crosta di pane e cipria. Assaggio signorile, la vibrante freschezza e la giusta sapidità si alternano donando brio al palato.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Trento Brut Domini,,,Abate Nero,Trentino,,36,Chardonnay 100%,000 | Produzione olearia: No Proprietà: Roberta Lunelli Cond,,,86,nd,nd,,,,,,3,,Acciaio 6 mesi | 60,,,"Filetti di pesce persico al burro e timo. TRENTO BRUT ROSÉ Rosato Doc Metodo Classico Pinot nero 80%, Chardonnay 20% Alc. 12,5% | € 26 | Bt. 8.500 | Ferm. Acciaio | 24 mesi sui lieviti Crostini con baccalà mantecato. Viticoltura: Convenzionale Bottiglie: 70. enologica: Roberto Sebastiani Vendita diretta: Sì | Visite in azienda: No",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2015,,Trento Pas Dosé Riserva,,,Balter,Trentino,,45,Chardonnay 80% – Pinot nero 20%,Acciaio | 24 mesi sui lieviti Tagliere di salumi,,,91,nd,nd,,,,,13,2,,Legno 15 mesi,,,"lieviti Brillantezza giallo tenue, impreziosita da bollicine ricche e sottili. Profuma di mela verde, uva spina, pasticceria lievitata e salvia. Multiforme il palato, dove la freschezza trova supporto e sostanza gustativa nella struttura e nei netti rimandi gusto olfattivi. Finale di ottima persistenza. Verdure in tempura. TRENTO BRUT ROSÉ Rosato Doc Metodo Classico Pinot nero 80%, Chardonnay 20% Alc. 12,5% | € 25 | Bt. 6.000 | Ferm.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Barbanico,,,Balter,Trentino,,45,Lagrein 60% – Cabernet sauvignon 20% – Merlot 20%,Legno e Acciaio | 36 mesi sui lieviti Risotto alla parmigiana,,,86,nd,nd,,,,,13,2,,Legno 15 mesi,,,"Medaglioni di cervo con riduzione di cottura. TRENTO BRUT Bianco Doc Metodo Classico Chardonnay 100% Alc. 12,5% | € 22 | Bt. 35.000 | Ferm.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Lagrein Merlot,,,Balter,Trentino,,45,Lagrein 60% – Merlot 40%,Legno e Acciaio | 48 mesi sui lieviti Gnocchi al burro e ricotta affumicata,,,82,nd,nd,,,,,13,2,,Legno 15 mesi,,,"Pappardelle al ragù di cinghiale. TRENTO BRUT NATURE Bianco Doc Metodo Classico Chardonnay 100% Alc. 12,5% | € 27 | Bt. 6.000 | Ferm.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Trento Brut Nature Riserva,,,Bellaveder,Trentino,,25,Chardonnay 100%,Risotto alla zucca e astice,,,89,nd,nd,,,,,,15,,Acciaio 5 mesi,,,"Giallo paglierino vivido di raffinata effervescenza. La sfaccettatura olfattiva si declina in accenni di mela annurca e clementina, di limone e ginestra, di crema pasticciera al limone. Equilibrato all’assaggio con sapidità e acidità che, in spiccata sinergia, conferiscono un bello slancio.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Trentino Müller Thurgau San Lorenz,,,Bellaveder,Trentino,,25,Müller Thurgau 100%,Rollè di cernia con patate al rosmarino,,,86,nd,nd,,,,,,15,,Acciaio 5 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Trentino Lagrein Dunkel Mansum Riserva,,,Bellaveder,Trentino,,25,Lagrein 100%,Capriolo in salmì con polenta di grano saraceno,,,86,nd,nd,,,,,,15,,Acciaio 5 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Trentino Pinot Nero Faedi Riserva,,,Bellaveder,Trentino,,25,Pinot nero 100%,Stracotto d’asino,,,82,nd,nd,,,,,,15,,Acciaio 5 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Trento Brut Nature Rosé Riserva,,,Bellaveder,Trentino,,25,Pinot nero 100%,Storione alle prugne,,,82,nd,nd,,,,,,15,,Acciaio 5 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Trentino Gewürztraminer,,,Bellaveder,Trentino,,25,Traminer aromatico 100%,Risotto alla zucca,,,82,nd,nd,,,,,,15,,Acciaio 5 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Trentino Müller Thurgau San Lorenz,,,Bellaveder,Trentino,,25,,,,,89,nd,nd,,,,,,15,,Acciaio 5 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Vin De La Neu,,,Biasi Nicola - Vin de la Neu,Trentino,,110,Johanniter 100%,Soufflé con pecorino e crema di patate,,,86,nd,nd,,,,,,0,,Legno 11 mesi,,,"Manto paglierino di grande lucentezza. Sprigiona intense e variegate suggestioni di pesca bianca, nespola, ciuffi di agretti, note di yogurt e di tartufo. Palato incredibilmente morbido con un nerbo identitario supporto di un corpo delicato solo all’apparenza. Saporito l’epilogo. Da provare.",Italy,,,
