Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2021,,Lison Classico,,,A Mi Manera,Veneto,,16,Tai 100%,Filetto di vitello alla Rossini,,,91,nd,nd,,,,,13,4,,Cemento 10 mesi,,,Paglierino intenso dai riflessi oro. Esordisce all’olfatto con eleganti sensazioni di frutta tropicale e albicocca disidratata. Concede raffinate percezioni floreali di gelsomino e tiglio tra sbuffi salmastri. Al palato risulta ampio e supportato da corroborante sapidità e vibrante freschezza.,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Tai Anfora,,,A Mi Manera,Veneto,,16,Tai 100%,Terracotta 10 mesi Risotto agli scampi,,,86,nd,nd,,,,,13,4,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,A Mi Manera Rosso In Anfora,,,A Mi Manera,Veneto,,16,Merlot 50% – Cabernet sauvignon 30% –,Anatra ai funghi,,,86,nd,nd,,,,,13,4,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Malvasia,,,A Mi Manera,Veneto,,16,Malvasia istriana 100%,Orata all’acqua pazza,,,86,nd,nd,,,,,13,4,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Pinot Nero,,,A Mi Manera,Veneto,,16,Pinot nero 100%,Prosciutto di San Daniele,,,86,nd,nd,,,,,13,4,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Amarone Della Valpolicella Classico Acinatico,,,Stefano Accordini,Veneto,,39,Corvina 75% – Rondinella 20% – Molinara 5%,Stufato di daino,,,91,nd,nd,,,,,15,40,,Legno 24 mesi,,,"Granato. Note di liquirizia, pepe, cannella con tratti di tabacco, cuoio e sottobosco aprono il percorso olfattivo. Continua con ciliegia sotto spirito, confettura di frutti rossi e viola macerata. Al palato richiama l’olfatto, armonioso con tannini marcati ma fusi e sapido finale di liquirizia.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Valpolicella Ripasso Classico Superiore Il Fornetto,,,Stefano Accordini,Veneto,,39,Corvina 60% – Rondinella 20% – Corvinone 15% – Molinara 5%,Allodole tartufate in casseruola,,,86,nd,nd,,,,,15,40,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Valpolicella Ripasso Classico Superiore Acinatico,,,Stefano Accordini,Veneto,,39,Corvina 60% – Rondinella 20% – Corvinone 15% – Molinara 5%,Nodini di cinta senese lardellati al forno,,,86,nd,nd,,,,,15,40,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Valpolicella Superiore Stefano,,,Stefano Accordini,Veneto,,39,Corvina 80% – Rondinella 15% – Molinara 5%,Ravioli di germano con foie gras,,,86,nd,nd,,,,,15,40,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Recioto Della Valpolicella Classico Acinatico,,,Stefano Accordini,Veneto,,39,Corvina 75% – Rondinella 20% – Molinara 5%,Legno 4 mesi Sachertorte,,,86,nd,nd,,,,,15,40,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Valpolicella Classico,,,Stefano Accordini,Veneto,,39,Corvina 65% – Rondinella 30% – Molinara 5%,Tigelle e salumi,,,82,nd,nd,,,,,15,40,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Valdobbiadene Superiore Di Cartizze Dry,,,Adami,Veneto,,27,Glera 100%,Pasticceria secca,,,91,nd,nd,,,,,11,12,,Acciaio 6 mesi,,,"6 mesi sui lieviti Giallo paglierino chiarissimo, il perlage è sottile, fitto e persistente. Trama olfattiva delicata e complessa: pesca bianca, cedro, limone, poi fiori di pesco e di tiglio. Il sorso risulta avvolgente, con il dosaggio misurato, di buona snellezza e beva invitante. Finale armonico in cui spiccano gli agrumi.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Valdobbiadene Prosecco Superiore Extra Dry Dei Casel,,,Adami,Veneto,,27,Glera 100%,Fritto di paranza,,,86,nd,nd,,,,,11,12,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Valdobbiadene Prosecco Superiore Rive Di Colbertaldo Dry Vigneto Giardino,,,Adami,Veneto,,27,Glera 100%,Budino agli agrumi,,,86,nd,nd,,,,,11,12,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Valdobbiadene Prosecco Superiore Brut Bosco Di Gica,,,Adami,Veneto,,27,Glera 97% – Chardonnay 3%,"Frittata di piselli, fave e fagiolini",,,86,nd,nd,,,,,11,12,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Valdobbiadene Prosecco Superiore Rive Di Farra Di Soligo Brut Col Credas,,,Adami,Veneto,,27,Glera 100%,Battuto di gamberi rossi di Sicilia,,,86,nd,nd,,,,,11,12,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Bardolino,,,Aldo Adami,Veneto,,7,Corvina 90% – Rondinella 10%,Tacchino stufato con peperoni e radicchio,,,89,nd,nd,,,,,13,20,,Cemento 4 mesi,,,"Rubino tenue. Si esprime su note di marasca e fragolina di bosco accompagnate da nuance di rosa su fondo vegetale di erba falciata. Di rincalzo melagrana e arancia rossa. Al sorso entra delicato con decisa freschezza, per virare al sapido, levigato il tannino. Persiste su aromi fruttati.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Bardolino Chiaretto,,,Aldo Adami,Veneto,,7,Corvina 90% – Rondinella 10%,Canapè di pasta sfoglia al formaggio,,,86,nd,nd,,,,,13,20,,Cemento 4 mesi,,,,Italy,,,
