Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2024,2021,,Dogliani Superiore Maioli,,,Anna Maria Abbona,Piemonte,,15,Dolcetto 100%,Pappardelle con sugo di capriolo,,,91,nd,nd,,,,,14,7,,Acciaio 20 mesi,,"Compatto amaranto profondo. Invitanti promesse fruttate, golose bacche nere, lampone, slanci di menta piperita. Sorso pieno, dal tannino preciso e dalla consueta freschezza cui questa zona ci ha abituato. Espressività e carattere in un finale lungo e appagante. Sempre un Dogliani di riferimento.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Bricco San Pietro,,,Anna Maria Abbona,Piemonte,,43,Nebbiolo 100%,Legno 24 mesi Involtini di vitello lardellati,,,89,nd,nd,,,,,14,7,,Acciaio 6 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Dogliani Sorì Dij But,,,Anna Maria Abbona,Piemonte,,13,Dolcetto 100%,Tagliatelle al ragù,,,89,nd,nd,,,,,14,28,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Alta Langa Extra Brut San Bartomè,,,Anna Maria Abbona,Piemonte,,28,Pinot nero 85% – Chardonnay 15%,Cappesante scottate allo zenzero,,,86,nd,nd,,,,,14,4,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Dogliani Superiore San Bernardo,,,Anna Maria Abbona,Piemonte,,24,Dolcetto 100%,Piccione ai porcini e tartufo nero,,,86,nd,nd,,,,,14,7,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Langhe Barbera Cadò,,,Anna Maria Abbona,Piemonte,,22,Barbera 90% – Dolcetto 10%,Legno 18 mesi Quaglie alla cacciatora,,,86,nd,nd,,,,,14,6,,Acciaio 12 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Pressenda,,,Marziano Abbona,Piemonte,,42,Nebbiolo 100%,Cinghiale arrosto con castagne,,,91,nd,nd,,,,,15,6,,Legno 36 mesi,,"Granato. All’esame olfattivo affascina per le raffinate tonalità crepuscolari: lampone macerato, agrumi, erbe officinali, menta, sandalo e legni preziosi. Concentrato e tannico, ha gran volume di bocca, con lieve ammandorlato in una progressione sostanziosa, foriera di intriganti evoluzioni future.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo,,,Marziano Abbona,Piemonte,,32,Nebbiolo 100%,Petto d’anatra alle prugne,,,86,nd,nd,,,,,15,30,,Legno 26 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Ravera,,,Marziano Abbona,Piemonte,,50,Nebbiolo 100%,Filetto di scottona in sfoglia,,,86,nd,nd,,,,,15,3,,Legno 36 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Barbera D’Alba Rinaldi,,,Marziano Abbona,Piemonte,,24,Barbera 100%,Legno 36 mesi Fagiano arrosto,,,86,nd,nd,,,,,15,29,,Legno 12 mesi,,"Tacchino stufato con peperoni e radicchio. BAROLO CERVIANO-MERLI 2019 Rosso Docg Nebbiolo 100% Alc. 14,5% | € 55 | Bt. 6.200 | Ferm. Acciaio | Mat.",,Italy,,,
