Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2024,2021,,Valle D’Aosta Chardonnay Main Et Cœur,,,Maison Anselmet,Vda,,75,Chardonnay 100%,Tortelli di branzino con salsa d’astice,,,89,nd,nd,,,,,14,2,,Legno 18 mesi,,"Sontuoso manto giallo paglierino intarsiato da riflessi dorati. Ventaglio odoroso deciso e di classe con incipit fumé, intarsiato da sbuffi di grafite, camomilla, ananas e bergamotto; sfumano delicate note di burro. Il sorso è pieno e rotondo, dominato da una lunga scia sapida.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Le Prisonnier,,,Maison Anselmet,Vda,,80,Petit rouge 40% – Cornalin 35% – Fumin 20% – Mayolet 5%,Guanciale di vitello in umido con patate,,,89,nd,nd,,,,,14,2,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Valle D’Aosta Petite Arvine,,,Maison Anselmet,Vda,,33,Petite arvine 100%,Insalata di mare,,,86,nd,nd,,,,,14,2,,Legno 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Valle D’Aosta Chambave Muscat,,,Maison Anselmet,Vda,,18,Muscat petit grain 100%,Stracciatella di bufala,,,86,nd,nd,,,,,14,6,,Acciaio 7 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Valle D’Aosta Pinot Noir Semel Pater,,,Maison Anselmet,Vda,,46,Pinot nero 100%,Terrina di coniglio,,,86,nd,nd,,,,,14,3,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Valle D’Aosta Merlot Les Deux Petits Coeurs,,,Maison Anselmet,Vda,,15,Merlot 100%,Rotolo di tacchino alle mele ed erbe aromatiche,,,86,nd,nd,,,,,14,4,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Valle D’Aosta Chambave Muscat,,,Edoardo Braga,Vda,,18,Moscato bianco 100%,Canapè di pasta sfoglia al formaggio,,,89,nd,nd,,,,,14,1,,Acciaio 6 mesi,,"Veste paglierino dai ricami dorati, regala un profilo dai profumi di cedro e resina di pino, seguiti da frutta polpa gialla e sottili cenni di pompelmo. Il palato è vibrante, freschezza e sapidità si legano in un equilibrato intreccio con un allungo coerente.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Rosé,,,Edoardo Braga,Vda,,18,Petit rouge 80% – altre varietà 20%,Crostini con burro e salmone,,,86,nd,nd,,,,,14,1,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Valle D’Aosta Pinot Gris,,,Edoardo Braga,Vda,,18,Pinot grigio 100%,Riso venere con verdure e crostacei,,,86,nd,nd,,,,,14,1,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Valle D’Aosta Cornalin,,,Edoardo Braga,Vda,,20,Cornalin 100%,Arista di maiale con salsa di prugne,,,86,nd,nd,,,,,14,2,,Legno 8 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Valle D’Aosta Petite Arvine,,,Edoardo Braga,Vda,,20,Petite arvine 100%,braga@libero,,,86,nd,nd,,,,,14,0,,Acciaio 6 mesi,,"Abbacchio al forno con verdure grigliate. Villaggio Vianoz, 27 11020 Quart (AO) T. 340 7609371 | M. edoardo.it",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Valle D’Aosta Torrette Superieur Miniera,,,Cave des Onze Communes,Vda,,25,Petit rouge 70% – Fumin 20% – Cornalin 10%,Braciola di cervo con salsa di ribes,,,89,nd,nd,,,,,14,3,,Granito del Monte,,"Bianco 10 mesi Lucentezze rosso cremisi. Si apre su piccoli frutti rossi maturi e agrumi, poi spezie e fiori in appassimento. La beva è fresca e strutturata; il tenore alcolico ben sostenuto da una sapidità tipicamente montana. I fiori e le spezie lasciano spazio un finale fruttato e minerale.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Valle D’Aosta Fumin,,,Cave des Onze Communes,Vda,,13,Fumin 100%,Legno 10 mesi Brasato di lepre con riduzione di vino rosso,,,89,nd,nd,,,,,14,7,,Acciaio 3 mesi e,,,,Italy,,,
